MonthYear,Date,Year,Hour,CensusTract_2010,NumberOfReports,CensusTract_2010_ID,CensusTract_2010_NAME,CountyName_2010,GEOID_list,CensusBlockID_list,Zipcode_list,Ticket_list
June-2020,06/05/2020,2020,10 AM,71.0,1,7100,Census Tract 71,Westchester County,[361190071004023],[4023],[10538],['WL20005337']
June-2020,06/05/2020,2020,12 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067004004],[4004],[10804],['WL20005341']
June-2020,06/05/2020,2020,12 PM,4.02,1,402,Census Tract 4.02,Westchester County,[361190004021008],[1008],[10701],['WL20005342']
June-2020,06/05/2020,2020,04 PM,4.02,1,402,Census Tract 4.02,Westchester County,[361190004022001],[2001],[10701],['WL20005351']
June-2020,06/05/2020,2020,06 PM,95.0,1,9500,Census Tract 95,Westchester County,[361190095001004],[1004],[10605],['WL20005359']
June-2020,06/05/2020,2020,11 AM,184.0,1,18400,Census Tract 184,Bronx County,[360050184004007],[4007],[10461],['XL20006022']
June-2020,06/05/2020,2020,02 PM,378.0,1,37800,Census Tract 378,Bronx County,[360050378001004],[1004],[10467],['XL20006029']
June-2020,06/04/2020,2020,12 AM,62.0,1,6200,Census Tract 62,Westchester County,[361190062002001],[2001],[10801],['WL20005298']
June-2020,06/04/2020,2020,10 AM,88.0,1,8800,Census Tract 88,New York County,[360610088005000],[5000],[10017],['ML20006775']
June-2020,06/04/2020,2020,12 PM,98.0,1,9800,Census Tract 98,New York County,[360610098004000],[4000],[10022],['ML20006784']
June-2020,06/04/2020,2020,01 PM,1451.02,1,145102,Census Tract 1451.02,Queens County,[360811451022000],[2000],[11361],['QL20003318']
June-2020,06/04/2020,2020,09 AM,67.0,1,6700,Census Tract 67,Westchester County,[361190067003002],[3002],[10804],['WL20005299']
June-2020,06/04/2020,2020,10 AM,67.0,1,6700,Census Tract 67,Westchester County,[361190067001008],[1008],[10804],['WL20005306']
June-2020,06/04/2020,2020,12 PM,65.0,1,6500,Census Tract 65,Westchester County,[361190065001000],[1000],[10801],['WL20005307']
June-2020,06/04/2020,2020,01 PM,68.01,1,6801,Census Tract 68.01,Westchester County,[361190068013042],[3042],[10804],['WL20005309']
June-2020,06/03/2020,2020,12 AM,391.0,1,39100,Census Tract 391,Bronx County,[360050391005000],[5000],[10458],['XL20005954']
June-2020,06/03/2020,2020,10 AM,173.0,1,17300,Census Tract 173,New York County,[360610173001000],[1000],[10024],['ML20006748']
June-2020,06/03/2020,2020,12 PM,84.0,1,8400,Census Tract 84,New York County,[360610084002003],[2003],[10018],['ML20006756']
June-2020,06/03/2020,2020,01 PM,151.0,1,15100,Census Tract 151,New York County,[360610151002000],[2000],[10023],['ML20006758']
June-2020,06/03/2020,2020,02 PM,25.0,1,2500,Census Tract 25,New York County,[360610025001000],[1000],[10038],['ML20006761']
June-2020,06/03/2020,2020,11 AM,1175.0,1,117500,Census Tract 1175,Queens County,[360811175004007],[4007],[11358],['QL20003309']
June-2020,06/03/2020,2020,09 PM,309.04,1,30904,Census Tract 309.04,Queens County,[360810309041005],[1005],[11370],['QL20003312']
June-2020,06/03/2020,2020,10 AM,108.03,1,10803,Census Tract 108.03,Westchester County,[361190108031008],[1008],[10530],['WL20005274']
June-2020,06/03/2020,2020,10 AM,65.0,1,6500,Census Tract 65,Westchester County,[361190065003035],[3035],[10801],['WL20005275']
June-2020,06/03/2020,2020,11 AM,107.02,1,10702,Census Tract 107.02,Westchester County,[361190107023000],[3000],[10530],['WL20005278']
June-2020,06/03/2020,2020,12 PM,34.0,1,3400,Census Tract 34,Westchester County,[361190034002003],[2003],[10553],['WL20005279']
June-2020,06/03/2020,2020,12 PM,141.0,1,14100,Census Tract 141,Westchester County,[361190141004014],[4014],[10566],['WL20005280']
June-2020,06/03/2020,2020,01 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067003041],[3041],[10804],['WL20005281']
June-2020,06/03/2020,2020,01 PM,48.0,1,4800,Census Tract 48,Westchester County,[361190048002022],[2022],[10707],['WL20005283']
June-2020,06/03/2020,2020,02 PM,60.0,1,6000,Census Tract 60,Westchester County,[361190060003005],[3005],[10801],['WL20005284']
June-2020,06/03/2020,2020,08 PM,16.0,1,1600,Census Tract 16,Westchester County,[361190016001000],[1000],[10701],['WL20005294']
June-2020,06/03/2020,2020,08 AM,50.01,1,5001,Census Tract 50.01,Bronx County,[360050050014000],[4000],[10472],['XL20005957']
June-2020,06/03/2020,2020,12 PM,129.01,1,12901,Census Tract 129.01,Bronx County,[360050129012003],[2003],[10459],['XL20005963']
June-2020,06/02/2020,2020,09 AM,130.0,1,13000,Census Tract 130,New York County,[360610130001002],[1002],[10021],['ML20006717']
June-2020,06/02/2020,2020,12 PM,114.01,1,11401,Census Tract 114.01,New York County,[360610114011001],[1001],[10065],['ML20006724']
June-2020,06/02/2020,2020,09 AM,1399.0,1,139900,Census Tract 1399,Queens County,[360811399001002],[1002],[11364],['QL20003297']
June-2020,06/02/2020,2020,11 AM,485.0,1,48500,Census Tract 485,Queens County,[360810485002002],[2002],[11373],['QL20003299']
June-2020,06/02/2020,2020,02 PM,1155.0,1,115500,Census Tract 1155,Queens County,[360811155001007],[1007],[11354],['QL20003302']
June-2020,06/02/2020,2020,08 AM,13.01,1,1301,Census Tract 13.01,Westchester County,[361190013011010],[1010],[10705],['WL20005238']
June-2020,06/02/2020,2020,09 AM,100.0,1,10000,Census Tract 100,Westchester County,[361190100001004],[1004],[10583],['WL20005239']
June-2020,06/02/2020,2020,10 AM,71.0,1,7100,Census Tract 71,Westchester County,[361190071001006],[1006],[10538],['WL20005241']
June-2020,06/02/2020,2020,10 AM,13.01,1,1301,Census Tract 13.01,Westchester County,[361190013013000],[3000],[10705],['WL20005242']
June-2020,06/02/2020,2020,10 AM,21.03,1,2103,Census Tract 21.03,Westchester County,[361190021031002],[1002],[10707],['WL20005244']
June-2020,06/02/2020,2020,11 AM,68.02,1,6802,Census Tract 68.02,Westchester County,[361190068021011],[1011],[10804],['WL20005246']
June-2020,06/02/2020,2020,11 AM,58.0,1,5800,Census Tract 58,Westchester County,[361190058003003],[3003],[10805],['WL20005247']
June-2020,06/02/2020,2020,12 PM,53.0,1,5300,Census Tract 53,Westchester County,[361190053003003],[3003],[10803],['WL20005251']
June-2020,06/02/2020,2020,12 PM,71.0,1,7100,Census Tract 71,Westchester County,[361190071003048],[3048],[10538],['WL20005252']
June-2020,06/02/2020,2020,01 PM,58.0,1,5800,Census Tract 58,Westchester County,[361190058003003],[3003],[10805],['WL20005254']
June-2020,06/02/2020,2020,01 PM,148.09,1,14809,Census Tract 148.09,Westchester County,[361190148091008],[1008],[10598],['WL20005256']
June-2020,06/02/2020,2020,09 AM,64.0,1,6400,Census Tract 64,Bronx County,[360050064003000],[3000],[10472],['XL20005937']
June-2020,06/02/2020,2020,10 AM,72.0,1,7200,Census Tract 72,Bronx County,[360050072001001],[1001],[10472],['XL20005938']
June-2020,06/01/2020,2020,11 PM,2.03,1,203,Census Tract 2.03,Westchester County,[361190002031002],[1002],[10705],['WL20005235']
June-2020,06/01/2020,2020,06 PM,72.0,1,7200,Census Tract 72,New York County,[360610072004002],[4002],[10016],['ML20006696']
June-2020,06/01/2020,2020,10 AM,1385.02,1,138502,Census Tract 1385.02,Queens County,[360811385021019],[1019],[11362],['QL20003276']
June-2020,06/01/2020,2020,10 AM,1059.0,1,105900,Census Tract 1059,Queens County,[360811059001002],[1002],[11357],['QL20003277']
June-2020,06/01/2020,2020,01 PM,1191.0,1,119100,Census Tract 1191,Queens County,[360811191002000],[2000],[11358],['QL20003282']
June-2020,06/01/2020,2020,12 PM,14.02,1,1402,Census Tract 14.02,Westchester County,[361190014022003],[2003],[10705],['WL20005217']
June-2020,06/01/2020,2020,12 PM,67.0,1,6700,Census Tract 67,Westchester County,[361190067004002],[4002],[10804],['WL20005218']
June-2020,06/01/2020,2020,11 AM,385.0,1,38500,Census Tract 385,Bronx County,[360050385001009],[1009],[10458],['XL20005903']
June-2020,06/01/2020,2020,01 PM,385.0,1,38500,Census Tract 385,Bronx County,[360050385001007],[1007],[10458],['XL20005908']
June-2020,06/01/2020,2020,04 PM,387.0,1,38700,Census Tract 387,Bronx County,[360050387002002],[2002],[10458],['XL20005913']
June-2020,06/01/2020,2020,12 PM,34.0,1,3400,Census Tract 34,New York County,[360610034001001],[1001],[10009],['ML20006678']
June-2020,06/01/2020,2020,07 PM,426.0,1,42600,Census Tract 426,Bronx County,[360050426002001],[2001],[10466],['XL20005916']
May-2020,05/31/2020,2020,01 PM,1059.0,1,105900,Census Tract 1059,Queens County,[360811059004000],[4000],[11357],['QL20003268']
May-2020,05/31/2020,2020,08 PM,1579.03,1,157903,Census Tract 1579.03,Queens County,[360811579032002],[2002],[11004],['QL20003272']
May-2020,05/31/2020,2020,09 AM,113.0,1,11300,Census Tract 113,Westchester County,[361190113003014],[3014],[10533],['WL20005200']
May-2020,05/31/2020,2020,01 PM,23.0,1,2300,Census Tract 23,Westchester County,[361190023001000],[1000],[10701],['WL20005207']
May-2020,05/31/2020,2020,01 PM,451.01,1,45101,Census Tract 451.01,Bronx County,[360050451012000],[2000],[10470],['XL20005883']
May-2020,05/30/2020,2020,10 AM,1385.02,1,138502,Census Tract 1385.02,Queens County,[360811385021019],[1019],[11362],['QL20003257']
May-2020,05/29/2020,2020,10 AM,143.0,1,14300,Census Tract 143,New York County,[360610143001033],[1033],[10065],['ML20006600']
May-2020,05/29/2020,2020,09 AM,101.0,1,10100,Census Tract 101,New York County,[360610101001004],[1004],[10001],['ML20006598']
May-2020,05/29/2020,2020,11 AM,68.0,1,6800,Census Tract 68,New York County,[360610068001002],[1002],[10010],['ML20006601']
May-2020,05/29/2020,2020,10 AM,929.0,1,92900,Census Tract 929,Queens County,[360810929002001],[2001],[11356],['QL20003244']
