BOROBOX,BOX_TYPE,LOCATION,ZIP,BOROUGH,COMMUNITYDISTICT,CITYCOUNCIL,LATITUDE,LONGITUDE,Location Point,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
M0467,ERS,E 13 ST & AVE C/LOISAIDA AVE,10009,Manhattan,MN03,2,40.7277487,-73.97617988,POINT (-73.97617988 40.7277487),11729,70,4,50,5
M1813,ERS,SHERMAN AVE AND ISHAM ST,10034,Manhattan,MN12,10,40.86631435,-73.91859602,POINT (-73.91859602 40.86631435),13092,47,4,39,22
Q4850,ERS,6 RD & 151 PL,11357,Queens,QN07,19,40.79581801,-73.81189357,POINT (-73.81189357 40.79581801),14192,22,3,20,67
B1428,ERS,3 AVE & 21 ST,11232,Brooklyn,BK07,38,40.66420211,-73.99777888,POINT (-73.99777888 40.66420211),13515,9,2,7,45
B1745,ERS,RIVERDALE AVE & BRADFORD ST,11207,Brooklyn,BK05,42,40.66377829,-73.8899067,POINT (-73.8899067 40.66377829),17214,45,2,25,47
M2023,ERS,RECTOR PL & SOUTH END AVE,10280,Manhattan,MN01,1,40.70936109,-74.01656821,POINT (-74.01656821 40.70936109),10367,56,4,32,1
Q4996,ERS,71 ST & 58 RD,11378,Queens,QN05,30,40.72568109,-73.8903921,POINT (-73.8903921 40.72568109),14788,54,3,34,62
Q6968,BARS,NORTHER BLVD & CLEARVIEW XWAY E SVC RD,11361,Queens,QN11,19,40.75819406,-73.77683318,POINT (-73.77683318 40.75819406),14196,26,3,20,69
R0662,ERS,TOMPKINS AVE & SCHOOL RD,10305,Staten Island,SI01,50,40.60503038,-74.0657377,POINT (-74.0657377 40.60503038),10692,4,1,14,74
Q3941,BARS,OAK PARK DR 1800' E/O DOUGLASTON PKWY,11362,Queens,QN11,23,40.74588344,-73.73177141,POINT (-73.73177141 40.74588344),14197,26,3,16,69
M1420,ERS,W 119 ST & LENOX AVE/MALCOLM X BLVD,10026,Manhattan,MN10,9,40.8039572,-73.94827301,POINT (-73.94827301 40.8039572),12423,18,4,36,18
X4840,ERS,E 225 ST & SCHIEFFELIN PL,10466,Bronx,BX12,12,40.88229385,-73.84455741,POINT (-73.84455741 40.88229385),11275,29,5,2,30
Q6950,BARS,NORTHERN BLVD & 204 ST,11361,Queens,QN11,19,40.75791022,-73.77910055,POINT (-73.77910055 40.75791022),14196,26,3,20,69
M1198,ERS,AMSTERDAM AVE & W 91 ST,10025,Manhattan,MN07,6,40.79087073,-73.97268972,POINT (-73.97268972 40.79087073),12421,20,4,19,15
Q7562,BARS,23 AVE & 28 ST,11105,Queens,QN01,22,40.77554763,-73.91454791,POINT (-73.91454791 40.77554763),16862,39,3,4,72
B1755,ERS,ATLANTIC AVE & VAN SICLEN AVE,11207,Brooklyn,BK05,37,40.67643092,-73.89126688,POINT (-73.89126688 40.67643092),17214,45,2,37,47
B0030,BARS,WEST ST & KENT ST,11222,Brooklyn,BK01,33,40.73043302,-73.95935688,POINT (-73.95935688 40.73043302),18182,36,2,38,57
B2688,ERS,FORT HAMILTON PWAY & 60 ST,11219,Brooklyn,BK12,38,40.63306615,-74.00576273,POINT (-74.00576273 40.63306615),17621,2,2,7,39
B1970,ERS,SUNNYSIDE AVE & HENDRIX ST,11207,Brooklyn,BK05,37,40.68166746,-73.89201856,POINT (-73.89201856 40.68166746),17214,45,2,37,47
M0102,ERS,PEARL ST & DOVER ST,10038,Manhattan,MN01,1,40.70954194,-74.00164094,POINT (-74.00164094 40.70954194),13096,56,4,32,2
M2036,ERS,MURRAY ST & NORTH END AVE,10007,Manhattan,MN01,1,40.71599601,-74.01537262,POINT (-74.01537262 40.71599601),10368,56,4,32,1
Q5252,BARS,HILLSIDE AVE & 183 ST,11432,Queens,QN12,24,40.7138493,-73.77886958,POINT (-73.77886958 40.7138493),24332,25,3,24,65
