,total_housholds,family_housholds,nonfamily_housholds,householder_living_alone,householder_over65_living_alone,grandparents_responsible_for_grandchildren,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid
58,1743,774,969,685,165,0,2.15,55.59380378657487,39.30005737234653,9.46643717728055,0.0,920,36081015900
59,858,755,103,88,37,13,3.76,12.004662004662006,10.256410256410255,4.312354312354312,1.5151515151515151,381,36081016800
60,2551,1167,1384,999,331,21,2.3,54.25323402587221,39.161113288906314,12.97530380243042,0.8232065856526851,1691,36081016900
61,0,0,0,0,0,0,-666666666,,,,,0,36081017100
62,1975,1602,373,326,263,0,2.78,18.88607594936709,16.50632911392405,13.316455696202532,0.0,332,36055012306
63,1337,833,504,402,196,18,2.33,37.696335078534034,30.067314884068814,14.659685863874344,1.3462976813762155,11,36055012401
64,2166,1792,374,297,174,73,2.8,17.266851338873497,13.71191135734072,8.033240997229916,3.3702677746999075,57,36055012402
65,1687,1089,598,480,122,30,2.41,35.44754001185537,28.45287492590397,7.231772377000594,1.7783046828689981,375,36055013205
66,2682,1821,861,689,289,0,2.62,32.10290827740492,25.68978374347502,10.775540641312453,0.0,646,36055013206
67,2155,1688,467,419,245,0,2.59,21.670533642691414,19.443155452436194,11.36890951276102,0.0,32,36055013507
68,1427,1117,310,246,149,0,2.8,21.723896285914506,17.23896285914506,10.441485634197617,0.0,54,36055013508
69,2064,1515,549,374,107,0,2.66,26.598837209302324,18.120155038759687,5.184108527131783,0.0,252,36055014601
70,1889,1100,789,659,287,0,2.35,41.76813128639492,34.88618316569613,15.193223928004235,0.0,63,36055014602
71,2074,1308,766,654,237,11,2.38,36.9334619093539,31.53326904532305,11.427193828351012,0.5303760848601736,95,36055014905
72,1491,990,501,415,224,16,2.47,33.601609657947684,27.833668678739098,15.023474178403756,1.0731052984574112,9,36055014906
73,1323,692,631,442,133,14,2.44,47.694633408919124,33.40891912320484,10.052910052910052,1.0582010582010581,49,36055015303
74,1778,834,944,621,202,32,2.37,53.093363329583795,34.92688413948257,11.361079865016873,1.799775028121485,84,36055015304
75,0,0,0,0,0,0,-666666666,,,,,0,36055980000
76,12,8,4,4,4,0,1.67,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0,36055980100
77,0,0,0,0,0,0,-666666666,,,,,0,36055990000
78,1153,933,220,188,70,32,4.94,19.080659150043367,16.305290546400695,6.071118820468343,2.7753686036426712,1504,36059304203
79,1148,922,226,213,150,16,4.41,19.686411149825783,18.554006968641115,13.066202090592336,1.3937282229965158,1267,36059304204
80,968,581,387,303,96,0,2.86,39.9793388429752,31.301652892561982,9.917355371900827,0.0,755,36059406701
81,2932,1816,1116,1062,557,11,2.37,38.062755798090045,36.22100954979536,18.997271487039562,0.3751705320600273,12,36029017300
82,1396,1021,375,274,69,161,3.13,26.86246418338109,19.62750716332378,4.9426934097421205,11.532951289398282,381,36029017400
83,660,350,310,274,99,0,2.09,46.96969696969697,41.515151515151516,15.0,0.0,13,36029017501
84,950,658,292,260,137,43,2.43,30.736842105263158,27.368421052631582,14.421052631578949,4.526315789473685,0,36029017502
85,0,0,0,0,0,0,-666666666,,,,,0,36029990000
86,1093,506,587,452,198,0,3.01,53.70539798719122,41.3540713632205,18.115279048490393,0.0,135,36033940000
87,1456,863,593,506,241,23,2.24,40.72802197802198,34.75274725274725,16.552197802197803,1.5796703296703296,19,36033950501
88,698,472,226,201,122,0,2.28,32.37822349570201,28.796561604584525,17.478510028653297,0.0,407,36033950502
89,1099,705,394,289,161,12,2.33,35.850773430391264,26.296633303002732,14.64968152866242,1.0919017288444042,16,36035970100
90,1176,829,347,234,93,90,2.36,29.506802721088437,19.897959183673468,7.908163265306123,7.653061224489796,8,36035970200
91,1573,990,583,536,216,60,2.19,37.06293706293706,34.075015893197715,13.731722822631914,3.814367450731087,0,36035970300
92,1265,882,383,339,95,28,2.88,30.27667984189723,26.798418972332016,7.5098814229249005,2.2134387351778657,581,36119003900
93,1176,847,329,302,68,11,2.82,27.976190476190478,25.68027210884354,5.782312925170068,0.935374149659864,439,36119003300
94,1565,1074,491,393,136,22,3.01,31.37380191693291,25.111821086261983,8.690095846645367,1.4057507987220448,370,36119003400
95,1425,814,611,544,111,0,2.33,42.877192982456144,38.175438596491226,7.7894736842105265,0.0,520,36119003700
96,1277,943,334,274,145,0,2.93,26.15505090054816,21.456538762725135,11.354737666405638,0.0,378,36119005001
97,2928,1543,1385,1262,413,0,2.17,47.30191256830601,43.10109289617486,14.1051912568306,0.0,706,36119005701
98,2627,1654,973,851,357,15,2.34,37.03844689760183,32.3943661971831,13.589645984012181,0.5709935287400076,991,36119007200
99,1925,1312,613,558,223,11,2.69,31.844155844155843,28.98701298701299,11.584415584415584,0.5714285714285714,528,36119007700
100,1374,968,406,296,95,0,2.8,29.54876273653566,21.542940320232898,6.914119359534207,0.0,923,36119008902
101,1475,904,571,525,282,67,2.1,38.71186440677966,35.59322033898305,19.118644067796613,4.542372881355932,835,36119009300
102,1815,827,988,744,273,0,2.19,54.43526170798898,40.99173553719008,15.041322314049587,0.0,961,36119009400
103,1389,1249,140,119,94,10,3.15,10.07919366450684,8.567314614830813,6.767458603311735,0.7199424046076314,312,36119009800
104,1209,978,231,179,67,55,4.54,19.106699751861044,14.80562448304384,5.5417700578990905,4.549214226633581,1639,36103146201
105,2310,1903,407,352,212,0,2.97,17.61904761904762,15.238095238095239,9.177489177489177,0.0,92,36103135402
106,1298,1153,145,135,36,35,4.35,11.171032357473036,10.400616332819723,2.773497688751926,2.6964560862865947,1098,36103146002
107,678,501,177,151,74,55,3.2,26.10619469026549,22.271386430678465,10.914454277286136,8.112094395280236,153,36081018401
108,730,516,214,170,64,13,2.19,29.315068493150687,23.28767123287671,8.767123287671232,1.7808219178082192,25,36031960700
109,1885,1250,635,519,293,29,2.36,33.687002652519894,27.53315649867374,15.543766578249338,1.5384615384615385,16,36031961000
110,765,556,209,180,137,0,2.41,27.320261437908496,23.52941176470588,17.908496732026144,0.0,34,36031961100
111,1064,520,544,439,208,0,1.9,51.127819548872175,41.2593984962406,19.548872180451127,0.0,46,36031960498
112,2093,1283,810,794,421,79,2.28,38.70043000477783,37.935977066411844,20.114667940754895,3.774486383182035,48,36031961200
113,664,455,209,199,125,0,2.1,31.475903614457827,29.96987951807229,18.82530120481928,0.0,4,36031961300
114,695,436,259,233,145,27,2.14,37.26618705035971,33.52517985611511,20.863309352517987,3.884892086330935,9,36031961400
115,1656,1086,570,445,220,67,2.42,34.42028985507246,26.871980676328505,13.285024154589372,4.045893719806763,347,36031960598
116,913,670,243,209,86,14,2.33,26.615553121577218,22.89156626506024,9.41949616648412,1.5334063526834611,34,36031960800
117,1604,994,610,504,266,14,2.09,38.02992518703242,31.421446384039903,16.58354114713217,0.8728179551122194,39,36031960900
118,1081,732,349,281,140,11,2.38,32.28492136910268,25.994449583718783,12.950971322849213,1.0175763182238668,16,36031960200
119,629,369,260,221,80,0,2.73,41.33545310015898,35.13513513513514,12.71860095389507,0.0,54,36057070900
120,916,531,385,364,196,24,2.27,42.03056768558952,39.737991266375545,21.397379912663755,2.6200873362445414,51,36057070500
121,805,406,399,258,92,3,2.48,49.56521739130435,32.04968944099379,11.428571428571429,0.37267080745341613,32,36057070600
122,1472,977,495,420,216,21,2.52,33.627717391304344,28.532608695652172,14.673913043478262,1.4266304347826086,0,36057072200
123,1173,807,366,272,222,25,2.69,31.202046035805626,23.18840579710145,18.925831202046037,2.131287297527707,66,36057072300
124,1450,926,524,419,131,26,2.45,36.137931034482754,28.896551724137932,9.034482758620689,1.7931034482758619,29,36057072600
125,2689,1595,1094,1018,463,41,2.12,40.68426924507252,37.857939754555595,17.218296764596506,1.5247303830420231,8,36057072100
126,1452,1020,432,363,170,10,2.86,29.75206611570248,25.0,11.707988980716253,0.6887052341597797,36,36057072500
127,1084,686,398,339,161,12,2.56,36.715867158671585,31.273062730627306,14.852398523985238,1.107011070110701,51,36057070700
128,1118,723,395,344,140,22,2.55,35.3309481216458,30.76923076923077,12.522361359570661,1.9677996422182469,31,36057070800
129,838,497,341,201,49,5,2.54,40.692124105011935,23.98568019093079,5.847255369928401,0.5966587112171837,9,36057070300
130,790,541,249,192,60,0,2.42,31.518987341772153,24.30379746835443,7.59493670886076,0.0,73,36057070400
131,986,620,366,284,141,21,2.47,37.11967545638945,28.803245436105477,14.300202839756594,2.129817444219067,43,36057072400
132,1722,1129,593,474,219,24,2.39,34.43670150987224,27.526132404181187,12.717770034843207,1.3937282229965158,25,36057072800
133,1483,1027,456,353,167,10,2.65,30.74848280512475,23.803101820633852,11.260957518543494,0.6743088334457181,17,36057072700
134,1058,472,586,485,277,14,2.04,55.3875236294896,45.84120982986767,26.18147448015123,1.3232514177693762,38,36057070200
135,1816,1488,328,175,106,0,3.04,18.06167400881057,9.636563876651982,5.8370044052863435,0.0,18,36059521302
136,1184,900,284,153,91,0,2.95,23.986486486486484,12.922297297297296,7.685810810810811,0.0,110,36103158319
137,1583,1354,229,195,157,10,3.18,14.466203411244472,12.31838281743525,9.917877447883765,0.6317119393556538,9,36059521500
138,2354,1658,696,571,198,57,2.94,29.566694987255737,24.25658453695837,8.411214953271028,2.421410365335599,112,36103146606
139,1552,1179,373,300,116,4,2.71,24.033505154639176,19.329896907216497,7.474226804123711,0.25773195876288657,156,36103158001
140,2702,1921,781,533,281,0,2.86,28.904515173945228,19.726128793486307,10.399703923019986,0.0,444,36103158202
141,1847,1391,456,390,60,13,2.99,24.688684353004874,21.115322144017327,3.2485110990795887,0.7038440714672441,69,36103158407
142,3315,1817,1498,1326,356,0,2.33,45.18853695324284,40.0,10.739064856711915,0.0,920,36103158900
143,1380,1065,315,289,99,24,2.58,22.82608695652174,20.942028985507246,7.173913043478261,1.7391304347826086,224,36103201004
144,1046,852,194,174,69,41,3.38,18.54684512428298,16.634799235181642,6.596558317399618,3.9196940726577436,132,36103111506
145,707,555,152,136,72,6,3.23,21.4992927864215,19.236209335219236,10.183875530410184,0.8486562942008486,140,36103112104
146,993,714,279,187,98,0,3.09,28.09667673716012,18.831822759315205,9.86908358509567,0.0,125,36103122707
147,1808,1404,404,314,185,0,2.95,22.345132743362832,17.36725663716814,10.232300884955754,0.0,194,36103135002
148,1519,1173,346,234,116,0,3.27,22.778143515470706,15.404871626069783,7.636603028308098,0.0,613,36103111202
149,1317,1142,175,121,40,0,2.99,13.287775246772968,9.187547456340168,3.037205770690964,0.0,122,36103112204
150,1327,984,343,305,185,5,2.96,25.84777694046722,22.984174830444612,13.941220798794273,0.37678975131876413,42,36103146402
151,3631,2247,1384,1224,358,55,2.78,38.11622142660424,33.70972183971358,9.85954282566786,1.5147342329936657,755,36103158321
152,1173,787,386,326,267,39,2.81,32.90707587382779,27.791986359761296,22.762148337595907,3.324808184143223,570,36103190704
153,1329,707,622,531,289,15,1.94,46.80210684725357,39.954853273137694,21.7456734386757,1.1286681715575622,36,36111950600
154,1162,772,390,341,234,0,2.04,33.56282271944922,29.345955249569705,20.137693631669535,0.0,0,36111951100
155,722,471,251,242,95,5,2.27,34.76454293628809,33.51800554016621,13.157894736842104,0.6925207756232686,94,36111951800
156,752,436,316,258,132,15,2.33,42.02127659574468,34.308510638297875,17.5531914893617,1.9946808510638299,36,36111953000
157,593,390,203,151,66,4,2.43,34.232715008431704,25.463743676222595,11.129848229342327,0.6745362563237773,49,36111954900
158,2065,1152,913,674,340,74,2.46,44.21307506053269,32.639225181598064,16.46489104116223,3.583535108958838,73,36111951700
159,2245,1400,845,597,272,92,2.48,37.639198218262806,26.5924276169265,12.115812917594655,4.097995545657016,104,36111954200
160,1140,646,494,398,189,84,2.35,43.333333333333336,34.91228070175438,16.57894736842105,7.368421052631578,236,36111954500
161,1237,796,441,387,95,18,2.88,35.65076798706548,31.285367825383993,7.679870654810024,1.4551333872271623,414,36111952100
162,1064,587,477,329,77,21,2.55,44.83082706766917,30.92105263157895,7.236842105263158,1.9736842105263157,112,36111952700
163,1970,791,1179,750,342,0,2.17,59.847715736040605,38.07106598984771,17.36040609137056,0.0,295,36111953400
164,696,394,302,235,174,32,2.43,43.39080459770115,33.764367816091955,25.0,4.597701149425287,66,36111954700
165,1729,1151,578,505,299,0,2.54,33.42972816657027,29.207634470792364,17.293233082706767,0.0,60,36111950300
166,1898,1163,735,531,275,35,2.26,38.72497365648051,27.976817702845103,14.488935721812435,1.84404636459431,89,36111951000
167,1741,845,896,782,419,0,2.04,51.4646754738656,44.916714531878235,24.066628374497416,0.0,30,36111951400
168,1909,986,923,784,311,38,2.17,48.34992142482976,41.06862231534835,16.291251964379256,1.9905709795704558,260,36007001700
169,1036,681,355,285,163,24,2.48,34.26640926640926,27.50965250965251,15.733590733590733,2.3166023166023164,23,36007012201
170,1337,613,724,537,110,0,2.02,54.15108451757666,40.164547494390426,8.227374719521316,0.0,3,36007013100
171,624,47,577,520,158,0,1.32,92.46794871794873,83.33333333333334,25.320512820512818,0.0,21,36007001200
172,3195,1612,1583,1320,403,0,1.98,49.54616588419405,41.31455399061033,12.613458528951488,0.0,769,36061016500
173,3954,2350,1604,1220,468,127,2.99,40.566514921598376,30.854830551340417,11.836115326251896,3.2119372787051086,3294,36061027900
174,648,191,457,369,63,0,1.78,70.5246913580247,56.94444444444444,9.722222222222223,0.0,171,36061011203
175,3117,1815,1302,1225,418,53,2.33,41.77093358999038,39.30060956047481,13.410330445941609,1.700352903432788,619,36061018400
176,2019,1385,634,501,248,19,2.45,31.401684001981177,24.814264487369986,12.283308568598315,0.9410599306587419,47,36033950200
177,2174,1490,684,605,213,24,2.31,31.462741490340385,27.828886844526217,9.797608095676173,1.1039558417663293,0,36033950400
178,1457,883,574,464,195,21,2.3,39.39601921757035,31.846259437199727,13.383665065202472,1.4413177762525737,13,36033950900
179,1011,618,393,305,79,0,2.15,38.87240356083086,30.16815034619189,7.81404549950544,0.0,0,36033951200
180,891,591,300,214,80,11,2.19,33.670033670033675,24.017957351290683,8.978675645342312,1.2345679012345678,46,36033950800
181,1367,899,468,417,177,0,2.45,34.235552304316016,30.504754937820046,12.948061448427211,0.0,33,36043011302
182,920,537,383,305,49,6,2.25,41.630434782608695,33.15217391304348,5.326086956521739,0.6521739130434783,0,36033951000
183,1549,1124,425,330,166,47,2.65,27.437056165267915,21.30406714009038,10.716591349257586,3.0342156229825696,31,36043010202
184,1148,727,421,341,198,22,2.5,36.67247386759582,29.70383275261324,17.247386759581882,1.9163763066202089,17,36043011002
185,2353,1695,658,523,276,14,2.65,27.964300892477688,22.22694432639184,11.729706757331067,0.5949851253718658,26,36043010100
186,692,440,252,206,107,0,2.43,36.41618497109826,29.76878612716763,15.462427745664739,0.0,9,36043010502
187,1286,945,341,268,166,8,2.7,26.51632970451011,20.839813374805598,12.908242612752721,0.6220839813374806,21,36043010900
188,1034,525,509,345,212,48,2.46,49.22630560928433,33.36557059961315,20.502901353965182,4.642166344294004,57,36043010501
189,1885,1273,612,478,193,43,2.67,32.46684350132626,25.358090185676392,10.238726790450928,2.2811671087533156,18,36043010300
190,1387,765,622,489,221,15,2.36,44.84498918529199,35.255948089401585,15.933669790915644,1.0814708002883922,0,36043010400
191,1755,1211,544,483,255,44,2.64,30.997150997150996,27.521367521367523,14.529914529914532,2.507122507122507,43,36043011400
192,1364,787,577,439,183,0,2.4,42.302052785923756,32.18475073313783,13.416422287390029,0.0,36,36043010201
193,955,592,363,318,139,13,2.56,38.010471204188484,33.29842931937173,14.554973821989527,1.3612565445026177,15,36043011001
194,686,490,196,168,48,0,2.64,28.57142857142857,24.489795918367346,6.997084548104956,0.0,3,36043011301
195,2384,1332,1052,1003,323,20,2.22,44.12751677852349,42.072147651006716,13.548657718120804,0.8389261744966443,51,36043011200
196,930,472,458,299,178,19,2.17,49.24731182795699,32.15053763440861,19.13978494623656,2.043010752688172,38,36043011100
197,1781,1078,703,585,336,46,2.31,39.472206625491296,32.846715328467155,18.865805727119593,2.582818641212802,21,36069050301
198,1786,1192,594,513,272,25,2.36,33.25867861142217,28.723404255319153,15.22956326987682,1.3997760358342666,23,36069051300
199,1416,857,559,510,335,7,2.22,39.4774011299435,36.016949152542374,23.65819209039548,0.49435028248587576,92,36069051500
200,1979,1426,553,468,201,28,2.49,27.943405760485096,23.648307225871655,10.1566447700859,1.414855987872663,18,36069052000
201,2457,1674,783,691,280,117,2.46,31.868131868131865,28.123728123728124,11.396011396011396,4.761904761904762,108,36069050202
202,1368,671,697,529,316,21,2.23,50.950292397660824,38.66959064327485,23.099415204678362,1.5350877192982455,30,36069050800
203,978,497,481,413,102,10,2.17,49.18200408997955,42.22903885480573,10.429447852760736,1.0224948875255624,20,36069051100
204,1242,852,390,299,127,0,2.7,31.40096618357488,24.074074074074073,10.225442834138486,0.0,48,36069051200
205,1020,658,362,286,116,40,2.31,35.490196078431374,28.03921568627451,11.372549019607844,3.9215686274509802,51,36069052200
206,1599,967,632,577,184,59,2.56,39.52470293933709,36.08505315822389,11.507191994996873,3.6898061288305186,1305,36005042902
207,2129,1433,696,639,177,48,2.76,32.691404415218415,30.014091122592767,8.313762329732269,2.254579614842649,1179,36005033000
208,2443,1885,558,438,206,47,3.27,22.840769545640605,17.928776094965208,8.432255423659434,1.9238641015145312,1105,36005035800
209,1739,888,851,832,395,8,2.46,48.93617021276596,47.84358826912018,22.714203565267397,0.46003450258769407,520,36005037100
210,1674,1028,646,614,168,18,2.8,38.59020310633214,36.67861409796894,10.03584229390681,1.0752688172043012,927,36005038500
211,2149,1283,866,706,160,19,2.65,40.297812936249414,32.85248953001396,7.445323406235459,0.8841321544904607,1393,36005042100
212,754,364,390,286,109,7,2.05,51.724137931034484,37.93103448275862,14.456233421750664,0.9283819628647214,115,36005045101
213,1605,1002,603,523,259,0,2.49,37.570093457943926,32.585669781931465,16.13707165109034,0.0,221,36005011800
214,1043,688,355,199,49,38,2.93,34.036433365292424,19.079578139980825,4.697986577181208,3.64333652924257,543,36005020400
215,1100,714,386,329,119,0,2.48,35.090909090909086,29.909090909090907,10.818181818181818,0.0,382,36005024800
216,1611,1098,513,477,97,23,2.85,31.843575418994412,29.608938547486037,6.021104903786468,1.4276846679081316,1102,36005040800
217,1246,856,390,381,76,25,3.28,31.30016051364366,30.57784911717496,6.099518459069021,2.0064205457463884,794,36005048400
218,769,461,308,261,55,14,2.65,40.05201560468141,33.940182054616386,7.152145643693109,1.8205461638491547,563,36005024700
219,2432,1325,1107,990,425,40,2.14,45.51809210526316,40.70723684210527,17.47532894736842,1.644736842105263,291,36005026602
220,832,609,223,200,72,35,3.22,26.802884615384613,24.03846153846154,8.653846153846153,4.206730769230769,463,36005036400
221,821,437,384,321,136,0,2.26,46.77222898903776,39.09866017052375,16.56516443361754,0.0,242,36005044902
222,1845,1293,552,496,225,39,2.75,29.91869918699187,26.883468834688344,12.195121951219512,2.113821138211382,1347,36005022300
223,778,492,286,280,107,15,2.67,36.760925449871465,35.98971722365039,13.753213367609254,1.9280205655526992,197,36005025400
224,698,384,314,270,79,6,2.19,44.985673352435526,38.68194842406877,11.318051575931232,0.8595988538681949,434,36005029600
225,784,511,273,253,132,32,2.84,34.82142857142857,32.27040816326531,16.83673469387755,4.081632653061225,456,36005037600
226,1061,658,403,383,113,77,2.7,37.98303487276154,36.098020735155515,10.65032987747408,7.257304429783224,448,36005002701
227,1948,1097,851,841,196,91,2.68,43.68583162217659,43.172484599589325,10.061601642710473,4.671457905544147,1204,36005006500
228,1516,918,598,430,99,9,2.9,39.44591029023747,28.36411609498681,6.530343007915568,0.5936675461741424,728,36005015700
229,0,0,0,0,0,0,-666666666,,,,,809,36005000100
230,2336,1524,812,543,234,14,3.1,34.76027397260274,23.24486301369863,10.017123287671232,0.5993150684931506,1477,36005006700
231,2624,1561,1063,847,305,127,2.6,40.510670731707314,32.27896341463415,11.623475609756099,4.839939024390244,1382,36005040702
232,1915,1102,813,731,208,58,2.8,42.45430809399478,38.17232375979112,10.861618798955613,3.028720626631854,946,36005038000
233,1947,1298,649,600,213,167,3.02,33.33333333333333,30.81664098613251,10.939907550077042,8.577298407806882,1646,36005002500
234,2143,825,1318,1215,703,18,1.73,61.50256649556696,56.6962202519832,32.804479701353245,0.8399440037330844,101,36005006100
235,1856,1072,784,662,190,22,2.68,42.241379310344826,35.668103448275865,10.237068965517242,1.1853448275862069,1423,36005022701
236,1713,785,928,705,162,31,2.49,54.17396380618798,41.155866900175134,9.457092819614711,1.8096906012842966,341,36047029500
237,2352,1310,1042,900,249,0,2.36,44.302721088435376,38.265306122448976,10.58673469387755,0.0,500,36047030700
238,742,472,270,229,40,33,2.87,36.38814016172507,30.862533692722373,5.3908355795148255,4.44743935309973,325,36047030900
239,1449,663,786,449,123,43,2.47,54.24430641821946,30.986887508626637,8.488612836438923,2.9675638371290542,350,36047031702
240,1288,522,766,677,151,0,1.9,59.472049689441,52.56211180124224,11.72360248447205,0.0,449,36047032700
241,1556,1105,451,293,104,16,2.84,28.984575835475578,18.830334190231362,6.683804627249357,1.0282776349614395,631,36047033600
242,646,424,222,203,143,45,2.27,34.36532507739938,31.424148606811148,22.13622291021672,6.96594427244582,148,36047034000
