,total_housholds,family_housholds,nonfamily_housholds,householder_living_alone,householder_over65_living_alone,grandparents_responsible_for_grandchildren,avg_houshold_size,nonfamily_housholds%,lonely_housholder%,lonely_housholder_over65%,housholders_grandparents_responsible_for_grandchildren%,"not_us_citizen(abs, people)",geoid
1,2425,1560,865,793,236,30,2.77,35.670103092783506,32.70103092783505,9.731958762886599,1.2371134020618557,1957,36119013400
2,1180,1010,170,160,38,0,3.25,14.40677966101695,13.559322033898304,3.2203389830508473,0.0,758,36119013500
3,1635,679,956,862,511,0,1.88,58.47094801223241,52.72171253822629,31.25382262996942,0.0,360,36119014605
4,21,0,21,21,0,0,-666666666,100.0,100.0,0.0,0.0,0,36119000104
5,958,814,144,116,61,21,3.04,15.031315240083506,12.10855949895616,6.367432150313153,2.1920668058455117,171,36119011102
6,2220,1294,926,801,284,8,2.46,41.711711711711715,36.08108108108108,12.792792792792792,0.36036036036036034,691,36119011500
7,1589,1271,318,239,147,20,2.91,20.01258653241032,15.040906230333542,9.251101321585903,1.2586532410320956,164,36119012000
8,1095,860,235,226,74,0,2.82,21.461187214611872,20.639269406392692,6.757990867579909,0.0,105,36119012501
9,1526,1301,225,207,97,24,3.02,14.74442988204456,13.564875491480995,6.3564875491481,1.5727391874180863,265,36119012600
10,1214,925,289,262,110,3,2.78,23.805601317957166,21.581548599670512,9.060955518945635,0.2471169686985173,71,36119013800
11,1630,1201,429,393,133,16,2.72,26.319018404907972,24.11042944785276,8.159509202453988,0.98159509202454,185,36119014604
12,929,868,61,61,22,7,3.19,6.566200215285253,6.566200215285253,2.3681377825618943,0.7534983853606028,74,36119014908
13,1820,1551,269,237,193,0,3.06,14.780219780219781,13.021978021978024,10.604395604395604,0.0,186,36119006801
14,2107,1772,335,296,82,0,3.03,15.899383009017559,14.048410061699098,3.8917892738490742,0.0,616,36119006900
15,2197,1535,662,547,276,0,2.69,30.131998179335458,24.897587619481108,12.562585343650431,0.0,343,36119007000
16,1779,1199,580,492,221,30,2.76,32.60258572231591,27.65598650927487,12.422709387296234,1.6863406408094435,796,36119007401
17,1223,996,227,193,33,18,3.61,18.560915780866722,15.780866721177434,2.698282910874898,1.4717906786590351,1324,36119007800
18,2370,1822,548,523,379,0,2.72,23.122362869198312,22.067510548523206,15.9915611814346,0.0,527,36119008302
19,1417,1033,384,274,166,0,2.68,27.09950599858857,19.336626676076218,11.714890613973184,0.0,784,36119008403
20,1497,1149,348,269,130,18,2.86,23.246492985971944,17.969271877087508,8.684034736138944,1.2024048096192386,116,36119009600
21,1186,923,263,236,175,0,2.51,22.17537942664418,19.898819561551434,14.75548060708263,0.0,255,36119010801
22,1588,1264,324,303,71,0,2.85,20.40302267002519,19.080604534005037,4.471032745591939,0.0,135,36085017009
23,1787,1244,543,485,234,42,2.98,30.386121992165645,27.140458869613877,13.094571908226078,2.3503077783995523,1132,36085020700
24,2347,1924,423,328,152,28,2.95,18.023008095440986,13.975287601193012,6.476352790796762,1.1930123561994035,177,36085020803
25,861,746,115,104,42,15,3.1,13.356562137049943,12.07897793263647,4.878048780487805,1.7421602787456445,236,36085022300
26,1012,681,331,299,90,29,2.71,32.70750988142292,29.545454545454547,8.893280632411066,2.8656126482213438,525,36085024700
27,2133,1620,513,375,194,88,2.92,24.050632911392405,17.580872011251756,9.095171120487576,4.125644631973746,161,36085025100
28,2392,1957,435,381,233,0,3.22,18.18561872909699,15.92809364548495,9.740802675585284,0.0,412,36085029104
29,997,515,482,422,220,0,2.41,48.34503510531595,42.326980942828484,22.066198595787363,0.0,351,36085004700
30,1451,1157,294,221,70,25,2.82,20.261888352860097,15.230875258442452,4.824259131633356,1.722949689869056,421,36085005000
31,1541,1152,389,315,164,84,2.92,25.243348475016226,20.44127190136275,10.64243997404283,5.4510058403634005,715,36085007400
32,1512,980,532,509,197,0,2.42,35.18518518518518,33.664021164021165,13.029100529100528,0.0,218,36085009601
33,1301,930,371,308,131,0,2.58,28.516525749423522,23.674096848578017,10.069177555726364,0.0,332,36085009602
34,1396,987,409,324,100,7,2.68,29.297994269340975,23.20916905444126,7.163323782234957,0.501432664756447,102,36085012200
35,1970,1686,284,284,133,0,2.91,14.416243654822336,14.416243654822336,6.751269035532995,0.0,318,36085013203
36,2421,1855,566,506,292,0,2.66,23.378769103676166,20.90045435770343,12.061131763733995,0.0,184,36085015601
37,659,534,125,101,39,12,2.86,18.968133535660094,15.326251896813353,5.918057663125948,1.8209408194233687,154,36085018701
38,2307,1806,501,411,157,68,3.06,21.716514954486346,17.815344603381014,6.805374945817079,2.9475509319462505,750,36085018702
39,1956,1331,625,529,280,55,2.51,31.952965235173824,27.044989775051125,14.314928425357873,2.8118609406952966,407,36085018901
40,1566,1149,417,365,151,36,3.23,26.62835249042146,23.30779054916986,9.642401021711366,2.2988505747126435,608,36085021300
41,2402,1452,950,805,208,46,2.52,39.5503746877602,33.513738551207325,8.659450457951708,1.9150707743547042,463,36085000700
42,987,400,587,502,130,14,1.82,59.47315096251267,50.86119554204661,13.171225937183383,1.4184397163120568,309,36085000300
43,646,430,216,162,51,0,2.72,33.43653250773993,25.077399380804955,7.894736842105263,0.0,275,36085000900
44,533,392,141,114,17,0,3.31,26.454033771106943,21.388367729831145,3.189493433395872,0.0,279,36085002700
45,2107,1404,703,703,258,95,2.69,33.36497389653536,33.36497389653536,12.244897959183673,4.508780256288562,261,36103111701
