,incident_year,incident_month,geoid,gas_leaks,gas_leaks_per_person,total_population
98,2013,1,36005038500,1,0.00020855057351407716,4795.0
99,2013,1,36005038600,1,0.00011944577161968466,8372.0
100,2013,1,36005038700,3,0.0010124873439082012,2963.0
101,2013,1,36005038900,1,0.0001967342120794806,5083.0
102,2013,1,36005039300,1,0.00013170025023047545,7593.0
103,2013,1,36005039400,2,0.0004361098996947231,4586.0
104,2013,1,36005039500,1,0.00026595744680851064,3760.0
105,2013,1,36005039700,1,0.0002699784017278618,3704.0
106,2013,1,36005039901,1,0.0001934610176049526,5169.0
107,2013,1,36005039902,1,0.0002057189878625797,4861.0
108,2013,1,36005040100,2,0.00037936267071320183,5272.0
109,2013,1,36005040302,1,0.0002678093197643278,3734.0
110,2013,1,36005040303,1,0.00023736055067647758,4213.0
111,2013,1,36005040501,1,0.00023724792408066428,4215.0
112,2013,1,36005040502,2,0.0003540449637103912,5649.0
113,2013,1,36005040600,1,0.000321853878339234,3107.0
114,2013,1,36005040701,1,0.00031826861871419476,3142.0
115,2013,1,36005040900,2,0.0005497526113249038,3638.0
116,2013,1,36005041400,1,0.00019817677368212446,5046.0
117,2013,1,36005041500,1,0.00017337031900138697,5768.0
118,2013,1,36005041800,1,0.0002543881963876876,3931.0
119,2013,1,36005042100,1,0.00016570008285004143,6035.0
120,2013,1,36005042500,1,0.00015386982612709647,6499.0
121,2013,1,36005043000,1,0.00030665440049064706,3261.0
122,2013,1,36005043400,1,0.0002844950213371266,3515.0
123,2013,1,36005043500,1,0.0625,16.0
124,2013,1,36005044400,2,0.000556947925368978,3591.0
125,2013,1,36005045102,1,0.0005608524957936063,1783.0
126,2013,1,36005045600,1,0.0003117206982543641,3208.0
127,2013,1,36005045800,2,0.00035254715318173806,5673.0
128,2013,1,36005046000,1,0.0003403675970047651,2938.0
129,2013,1,36005046201,15,0.0005305602716468591,28272.0
130,2013,1,36005046202,6,0.0007485029940119761,8016.0
131,2013,1,36005048400,1,0.0002777777777777778,3600.0
133,2013,1,36047002100,1,0.00026102845210127906,3831.0
134,2013,1,36047002300,1,0.00025693730729701953,3892.0
135,2013,1,36047002901,2,0.0005911912503694946,3383.0
136,2013,1,36047003100,2,0.0007518796992481203,2660.0
137,2013,1,36047003300,1,0.00033921302578018993,2948.0
138,2013,1,36047003700,1,0.0013717421124828531,729.0
139,2013,1,36047005300,2,0.000847816871555744,2359.0
140,2013,1,36047005900,4,0.003129890453834116,1278.0
141,2013,1,36047006200,2,0.0007304601899196494,2738.0
143,2013,1,36047006600,1,0.00027063599458728013,3695.0
144,2013,1,36047006700,1,0.0002858776443682104,3498.0
145,2013,1,36047006900,1,0.0002737476047084588,3653.0
146,2013,1,36047007100,2,0.00041736227045075126,4792.0
147,2013,1,36047007500,1,0.00020781379883624273,4812.0
148,2013,1,36047008000,1,0.00022841480127912289,4378.0
149,2013,1,36047008400,1,0.00027285129604365623,3665.0
150,2013,1,36047008500,9,0.0012796815014929617,7033.0
151,2013,1,36047010000,1,0.00015691197238349287,6373.0
152,2013,1,36047011000,1,0.00039184952978056425,2552.0
153,2013,1,36047013300,2,0.00043346337234503684,4614.0
154,2013,1,36047013500,2,0.0005586592178770949,3580.0
155,2013,1,36047013600,1,0.00026136957658128593,3826.0
156,2013,1,36047013700,1,0.0003059975520195838,3268.0
157,2013,1,36047014300,1,0.00026399155227032733,3788.0
158,2013,1,36047015100,1,0.0002615746795710175,3823.0
159,2013,1,36047017400,2,0.0010095911155981827,1981.0
161,2013,1,36047017900,3,0.0007183908045977011,4176.0
162,2013,1,36047018300,1,0.0003627130939426913,2757.0
163,2013,1,36047018501,2,0.00048216007714561236,4148.0
164,2013,1,36047019000,1,0.0001852537977028529,5398.0
165,2013,1,36047019300,2,0.00035486160397445,5636.0
166,2013,1,36047019500,1,0.00023474178403755868,4260.0
167,2013,1,36047020300,1,0.0005672149744753262,1763.0
168,2013,1,36047020800,2,0.0006583278472679394,3038.0
169,2013,1,36047021200,1,0.00018942981625307822,5279.0
170,2013,1,36047021300,1,0.0002261420171867933,4422.0
171,2013,1,36047021400,2,0.0008038585209003215,2488.0
172,2013,1,36047021500,1,0.0001818181818181818,5500.0
173,2013,1,36047021900,2,0.0005395198273536552,3707.0
174,2013,1,36047022200,1,0.00022878059940517045,4371.0
175,2013,1,36047022400,1,0.00017400382808421786,5747.0
176,2013,1,36047023300,3,0.0005853658536585366,5125.0
177,2013,1,36047023600,2,0.00040064102564102563,4992.0
178,2013,1,36047024300,1,0.0002420135527589545,4132.0
179,2013,1,36047024400,1,0.00030084235860409147,3324.0
180,2013,1,36047024500,1,0.00024715768660405336,4046.0
181,2013,1,36047024700,1,0.0004950495049504951,2020.0
182,2013,1,36047025100,1,0.0002808988764044944,3560.0
183,2013,1,36047025200,2,0.0003374388392103931,5927.0
184,2013,1,36047025500,3,0.0005888125613346418,5095.0
185,2013,1,36047025600,1,0.0003074085459575776,3253.0
186,2013,1,36047025700,2,0.0010256410256410256,1950.0
187,2013,1,36047025902,1,0.0002813731007315701,3554.0
188,2013,1,36047026100,1,0.0002063557573256294,4846.0
189,2013,1,36047026500,1,0.00025265285497726126,3958.0
190,2013,1,36047026700,2,0.0006629101756711965,3017.0
191,2013,1,36047026800,1,0.00023153507756425097,4319.0
192,2013,1,36047026900,1,0.0004033884630899556,2479.0
193,2013,1,36047027500,2,0.0004748338081671415,4212.0
194,2013,1,36047027700,1,0.00022799817601459188,4386.0
195,2013,1,36047028100,2,0.00040298206729800525,4963.0
196,2013,1,36047028502,1,0.00036589828027808267,2733.0
197,2013,1,36047028700,1,0.00036403349108117945,2747.0
198,2013,1,36047029300,5,0.0015678896205707118,3189.0
199,2013,1,36047029700,1,0.0002635740643120717,3794.0
200,2013,1,36047030300,1,0.00019554165037152912,5114.0
201,2013,1,36047030400,1,0.0002535496957403651,3944.0
202,2013,1,36047030700,2,0.0004915212582944212,4069.0
203,2013,1,36047030800,2,0.0009828009828009828,2035.0
204,2013,1,36047031100,1,0.0003224766204450177,3101.0
205,2013,1,36047031300,2,0.0004515692029803567,4429.0
206,2013,1,36047031701,1,0.00031055900621118014,3220.0
207,2013,1,36047031900,2,0.0005309264666843643,3767.0
208,2013,1,36047032100,1,0.0001670564650851988,5986.0
209,2013,1,36047032300,2,0.0005268703898840885,3796.0
210,2013,1,36047032500,1,0.00015837820715869496,6314.0
211,2013,1,36047032600,3,0.00044020542920029346,6815.0
212,2013,1,36047032800,1,0.0003359086328518643,2977.0
213,2013,1,36047032900,1,0.00017614937466971993,5677.0
214,2013,1,36047033000,1,0.0002565418163160595,3898.0
215,2013,1,36047033100,1,0.00024125452352231604,4145.0
216,2013,1,36047034100,1,0.0004154549231408392,2407.0
217,2013,1,36047034200,5,0.000940379913485048,5317.0
218,2013,1,36047034300,2,0.00038812342324859306,5153.0
219,2013,1,36047034500,1,0.0004219409282700422,2370.0
220,2013,1,36047034700,1,0.000326797385620915,3060.0
221,2013,1,36047034800,1,0.00047080979284369113,2124.0
222,2013,1,36047034900,5,0.0008835483300936561,5659.0
223,2013,1,36047035100,1,0.00021934634788330776,4559.0
224,2013,1,36047035200,1,0.0009398496240601503,1064.0
225,2013,1,36047035300,2,0.00040048057669203043,4994.0
226,2013,1,36047035500,1,0.0002087246921310791,4791.0
227,2013,1,36047036001,1,0.00034746351633078526,2878.0
228,2013,1,36047036002,3,0.0009036144578313253,3320.0
229,2013,1,36047036100,2,0.0008710801393728223,2296.0
230,2013,1,36047036400,2,0.0008775778850372971,2279.0
231,2013,1,36047036501,1,0.00038925652004671076,2569.0
232,2013,1,36047036700,1,0.0008598452278589854,1163.0
233,2013,1,36047036900,1,0.00021105951878429716,4738.0
234,2013,1,36047037000,1,0.0002454590083456063,4074.0
235,2013,1,36047037100,1,0.00023277467411545624,4296.0
236,2013,1,36047037500,2,0.0006879944960440316,2907.0
237,2013,1,36047037900,2,0.000528680941052075,3783.0
238,2013,1,36047038100,1,0.00020777062123415748,4813.0
239,2013,1,36047038600,1,0.00027901785714285713,3584.0
240,2013,1,36047039300,1,0.00026809651474530834,3730.0
241,2013,1,36047039500,1,0.00028129395218002813,3555.0
242,2013,1,36047039900,3,0.000757002271006813,3963.0
243,2013,1,36047040000,1,0.00031240237425804435,3201.0
244,2013,1,36047040200,1,0.00042069835927639884,2377.0
245,2013,1,36047040900,2,0.0005263157894736842,3800.0
246,2013,1,36047041100,1,0.00031959092361776926,3129.0
247,2013,1,36047041200,1,0.0003748125937031484,2668.0
248,2013,1,36047041401,1,0.0008944543828264759,1118.0
249,2013,1,36047041402,1,0.0005611672278338945,1782.0
250,2013,1,36047041500,1,0.0002134927412467976,4684.0
251,2013,1,36047041700,1,0.0002828854314002829,3535.0
252,2013,1,36047042000,1,0.0004752851711026616,2104.0
253,2013,1,36047042300,3,0.0006681514476614699,4490.0
254,2013,1,36047042500,2,0.0007710100231303007,2594.0
255,2013,1,36047042600,1,0.00022727272727272727,4400.0
256,2013,1,36047043500,1,0.0001779676098949991,5619.0
257,2013,1,36047043700,1,0.0001694053870913095,5903.0
258,2013,1,36047043900,1,0.0002320185614849188,4310.0
259,2013,1,36047044700,1,0.0003862495171881035,2589.0
260,2013,1,36047044900,1,0.00032175032175032174,3108.0
261,2013,1,36047045300,1,0.0005482456140350877,1824.0
262,2013,1,36047048000,1,0.0002747252747252747,3640.0
263,2013,1,36047048200,1,0.00017898693395382138,5587.0
264,2013,1,36047049300,1,0.0001286008230452675,7776.0
