,%housh_grandp_resp_for_grandch,avg_houshold_size,avg_year_built,gas_leaks,gas_leaks_per_person,geoid,incident_year,lonely_housholder%,lonely_housholder_over65%,mean_houshold_income,median_age,nonfamily_housholds%,not_us_citizen%,total_housing_units,unemployed%,vacant_housing_units%
0,9.576837416481071,3.6,1953.8394308943089,2,0.0004116920543433512,36005000200,2013,18.040089086859687,11.210096510764663,72652.0,34.5,19.005196733481807,11.198023878139152,1476,8.5,8.7
1,4.1642897889332575,3.04,1972.6673640167364,5,0.0009356287425149701,36005000400,2013,13.519680547632628,7.187678265830005,80733.0,35.2,18.881916714204227,7.821856287425151,1912,5.7,8.3
2,1.7480719794344477,2.55,1969.7868330885956,11,0.002109300095877277,36005001600,2013,33.47043701799486,13.98457583547558,44609.0,39.2,34.03598971722365,15.81975071907958,2043,6.6,4.8
3,0.0,2.6,1966.3327721661053,3,0.00117096018735363,36005001900,2013,35.49939831528279,2.406738868832732,42285.0,30.5,44.64500601684717,24.863387978142075,891,18.5,6.7
4,6.2416107382550345,2.84,1953.93372350522,42,0.004966887417218543,36005002000,2013,28.624161073825498,12.953020134228186,34044.0,35.9,29.798657718120808,9.425260170293283,3161,13.5,5.7
5,1.4332965821389196,2.82,1949.3099854580707,21,0.004111198120595145,36005002500,2013,27.17750826901874,12.348401323042998,26129.0,27.0,32.57993384785006,25.078308535630388,2063,12.1,12.1
6,1.2275731822474032,3.0,1950.578733031674,9,0.0028373266078184113,36005002701,2013,15.391879131255903,7.459867799811143,36719.0,32.7,21.152030217186024,17.559899117276167,1105,18.5,4.2
7,1.2318840579710146,3.13,1959.2576791808874,9,0.0019055684946008892,36005002702,2013,17.53623188405797,7.608695652173914,24928.0,27.0,21.95652173913044,22.40101630319712,1465,13.7,5.8
8,0.0,2.48,1961.9824886691388,8,0.0013783597518952446,36005002800,2013,32.64957264957265,11.965811965811966,58256.0,39.9,39.1025641025641,6.805651274982769,2427,9.0,3.6
9,0.0,2.66,1952.579096045197,1,0.0007861635220125787,36005003100,2013,29.9163179916318,7.322175732217572,36102.0,31.0,29.9163179916318,33.647798742138356,531,15.8,10.0
10,1.8166089965397925,3.45,1958.00612244898,4,0.0010037641154328732,36005003300,2013,16.782006920415224,9.256055363321801,28510.0,27.3,17.82006920415225,19.84943538268507,1225,17.4,5.6
11,0.0,2.91,1943.9613670133729,16,0.00423728813559322,36005003500,2013,27.618308766485647,11.016291698991468,30035.0,28.7,30.256012412723045,17.74364406779661,1346,14.9,4.2
12,0.0,2.42,1965.25,7,0.028925619834710745,36005003700,2013,51.0,0.0,30688.0,42.6,51.0,0.0,100,16.1,0.0
13,0.0,3.25,1958.672335600907,2,0.001549186676994578,36005003800,2013,15.113350125944585,3.7783375314861463,55400.0,28.5,16.624685138539046,10.999225406661504,441,12.0,10.0
14,3.9598732840549102,3.17,1955.2664399092969,6,0.000991899487518598,36005003900,2013,29.831045406546988,15.575501583949315,40869.0,30.2,36.8532206969377,22.697966606050592,2205,12.4,14.1
15,3.0612244897959178,3.0,1948.276595744681,3,0.0020408163265306124,36005004001,2013,30.0,9.183673469387756,66040.0,39.9,33.265306122448976,14.761904761904766,564,9.8,13.1
16,7.2592592592592595,3.05,1957.3254910918224,15,0.0024123512383403024,36005004100,2013,29.23456790123457,16.197530864197528,30864.0,25.9,29.629629629629626,9.295593438404632,2189,16.3,7.5
17,3.515914137675796,2.75,1963.4613872005718,50,0.006730380939561179,36005004200,2013,30.97705403404885,7.0688378978534425,37429.0,34.5,34.64100666173205,4.536276753264233,2797,23.5,3.4
18,3.7589828634604756,2.93,1960.5473815461346,16,0.0029996250468691415,36005004300,2013,29.18739635157545,8.844665561083472,35021.0,29.5,33.941404090657834,12.635920509936257,2005,14.1,9.8
19,8.153477218225419,2.74,1953.362449216483,14,0.0029288702928870294,36005004400,2013,33.69304556354916,21.402877697841728,36338.0,35.5,34.47242206235012,7.635983263598328,1723,24.9,3.2
20,0.0,2.44,1961.168044077135,22,0.013707165109034268,36005004600,2013,43.07458143074581,26.02739726027397,43242.0,40.9,43.6834094368341,8.161993769470406,726,21.5,9.5
21,5.4294975688816836,3.14,1933.1802575107295,4,0.0010303967027305513,36005004800,2013,22.36628849270664,7.941653160453807,33701.0,32.0,24.878444084278765,34.54404945904173,1398,15.3,11.7
22,2.583798882681564,3.23,1936.1433566433566,9,0.0018820577164366374,36005005001,2013,19.41340782122905,5.237430167597767,40341.0,28.2,24.02234636871509,22.62651610204935,1573,15.4,9.0
23,5.5555555555555545,3.35,1929.804752066116,4,0.0007087172218284905,36005005002,2013,18.90096618357488,6.521739130434782,42452.0,28.5,24.03381642512077,41.654854712969524,1936,11.3,14.5
24,2.4161073825503356,2.66,1947.6565656565656,5,0.0025188916876574307,36005005200,2013,27.114093959731544,8.187919463087248,35858.0,39.5,29.261744966442947,16.473551637279595,792,19.8,5.9
25,0.0,3.62,1936.170984455959,16,0.0026437541308658294,36005005400,2013,19.07894736842105,5.861244019138756,47173.0,30.9,28.289473684210524,36.68208856576338,1930,8.3,13.4
26,2.57847533632287,2.67,1934.9026217228463,10,0.00419639110365086,36005005600,2013,36.65919282511211,23.54260089686099,39067.0,39.1,39.1255605381166,25.72387746537977,1068,11.0,16.5
27,0.0,3.81,1933.7015706806283,12,0.009561752988047808,36005006000,2013,17.02127659574468,7.90273556231003,51629.0,32.4,23.100303951367785,19.04382470119522,382,7.4,13.9
