,%housh_grandp_resp_for_grandch,avg_houshold_size,avg_bldg_age,gas_leaks,gas_leaks_per_person,geoid,lonely_housholder%,lonely_housholder_over65%,mean_houshold_income,median_age,nonfamily_housholds%,not_us_citizen%,total_housing_units,unemployed%,vacant_housing_units%
0,5.553494124922699,3.729999999999999,63.85895655623885,38,0.00125798655940676,36005000200,17.439703153988866,8.188002473716763,75457.16666666669,38.3,20.51948051948052,13.337968020657465,8880,4.2175654649584535,8.952702702702704
1,1.9704868781479188,3.0316666666666667,52.74993912831751,49,0.0014248742330396347,36005000400,16.311743394892638,5.876115578333483,85459.33333333331,38.016666666666666,21.525139171158433,7.444240890982583,12399,3.986739945912937,8.72651020243568
2,0.8265871325095868,2.815,56.219298245614034,99,0.002861767936636411,36005001600,27.158074137196426,13.583297827013205,47136.66666666666,37.466666666666654,27.94205368555603,16.51731514135399,12290,3.173960802451292,4.51586655817738
3,2.4511610762992997,2.425,83.27222222222224,38,0.0023770799449518328,36005001900,37.67047548838924,1.7876889052709175,47365.33333333334,31.33333333333333,47.80685587910064,15.832603528087075,5763,8.438633804579007,5.847648794030888
4,4.998346743083875,2.981666666666667,75.92155451601296,314,0.00580632038314318,36005002000,29.49961424005291,13.126859914030641,34932.0,33.416666666666664,30.34277526727653,9.354832744688329,19106,5.571478762551084,5.024599602219197
5,0.0,4.5925,2.5,60,0.10434782608695653,36005002400,0.0,0.0,,27.9,0.0,51.47826086956522,127,0.0,0.0
6,4.854981084489283,2.963333333333333,83.60489510489509,172,0.005227327984439581,36005002500,28.34624392001441,11.574491082687805,32017.0,29.83333333333333,31.86813186813186,25.19450522732799,12393,3.5314855336737168,10.417170983619783
7,4.190594443582183,2.828333333333333,86.8232044198895,87,0.004774972557628979,36005002701,27.797609809095146,9.064100574266645,27529.33333333333,28.0,29.0547881421698,18.04610318331504,6626,5.729967069154776,2.761847268336856
8,3.438530381535563,3.078333333333333,52.522552255225534,58,0.002063469474882596,36005002702,21.97362223268959,8.031088082901555,27735.16666666667,27.316666666666666,26.154027319830433,18.357762914472747,8834,3.9170342962857534,3.8714059316278018
9,0.8944416838219634,2.333333333333333,66.60818713450293,72,0.0021890486759295856,36005002800,35.16717540995244,18.15858593029034,58575.66666666666,42.31666666666667,39.17796550010648,6.524581192423459,14583,4.800705360128911,3.4012205993279845
10,0.37336652146857496,2.918333333333333,85.03438395415473,42,0.004469035965098957,36005003100,27.442439327940264,7.560672059738643,47519.16666666666,33.2,28.81144990665837,26.01617365396893,3359,4.1285379868057035,4.316760940756176
11,5.734107319835764,3.2366666666666664,49.77881619937696,32,0.0014016030835267838,36005003300,23.26206994195101,9.769219878238713,29450.16666666667,27.58333333333333,26.23531077445845,14.99715299373659,7490,6.302833866234506,5.700934579439252
12,2.334136749968286,2.9150000000000005,82.03781512605042,71,0.0030692084900358803,36005003500,28.491690980591144,11.366231130280351,35071.166666666664,29.816666666666666,31.38399086642141,14.144296027320275,8319,4.642718194786669,5.241014545017429
13,0.0,2.0583333333333336,88.64285714285714,61,0.03994760969220694,36005003700,52.93333333333333,0.0,27759.16666666667,47.78333333333334,59.2,6.810740013097577,750,4.322200392927308,0.0
14,7.616602481814293,3.378333333333334,60.20733249051833,34,0.0043016194331983795,36005003800,21.18100128369705,5.733846812152332,63189.66666666666,32.28333333333333,21.951219512195124,8.084514170040485,2619,6.376518218623482,10.767468499427263
15,2.4642765465902285,3.3100000000000005,85.26888667992047,49,0.0012581846193349595,36005003900,30.640883032429194,13.562077522033027,44952.33333333334,29.816666666666666,36.39086164113973,29.05636153549878,13498,4.542303248170497,13.416802489257668
16,1.5840916750926863,2.98,72.88052373158756,18,0.0020359687818120122,36005004001,27.839568587799125,11.729019211324573,65147.0,39.78333333333335,30.03033367037413,13.211175206424613,3336,4.332089130188892,11.061151079136687
17,3.675394373068792,2.975,85.5036832412523,125,0.003392314372557533,36005004100,27.8581883233046,12.432915921288016,30425.66666666667,25.516666666666666,30.208163929094162,9.805145462440297,13137,5.601389491967,6.386541828423536
18,4.0860083312913495,2.7583333333333333,29.552631578947373,272,0.00604216184996779,36005004200,31.530262190639554,9.9546679735359,36047.66666666666,35.13333333333333,33.686596422445476,5.69118333074172,16779,7.283914965457495,2.7117229870671675
19,3.334444814938313,2.9466666666666668,42.808533333333344,190,0.005347443077875658,36005004300,33.86962320773591,9.253084361453821,34933.333333333336,30.16666666666667,36.01200400133378,16.503898004559396,12712,6.045425121724692,5.6324732536186275
20,7.472949742137729,2.731666666666667,60.60989010989011,84,0.002974082991077751,36005004400,32.56143189402366,19.253716250379213,31942.83333333333,32.4,32.85468702598847,7.605155077184535,10238,9.718878345843363,3.408868919710881
21,3.5302593659942363,2.59,25.28668941979523,194,0.017959637104239954,36005004600,39.93756003842459,17.579250720461097,47926.16666666666,35.416666666666664,42.67531219980789,11.396037770783188,4309,4.943528976115534,3.365049895567417
22,5.076863454334065,3.2966666666666664,81.25700934579439,21,0.0008195121951219513,36005004800,19.29983206304095,6.433277354346982,40251.333333333336,31.28333333333333,24.079576282134088,36.827317073170725,8605,7.383414634146343,10.040674026728649
23,1.9230769230769231,3.098333333333333,68.27102803738319,89,0.0029698344901227976,36005005001,22.57142857142857,5.8461538461538485,42201.66666666666,30.43333333333333,27.032967032967033,26.738521089161768,9748,6.556994127068872,6.647517439474764
24,4.153532356758761,3.0933333333333333,85.71587982832618,52,0.001535100667178367,36005005002,23.206007787873173,8.557389208232895,38442.333333333336,29.616666666666664,30.660114963842016,41.261734663753906,11914,6.237822518745941,9.467852946113817
