,geoid,White,Black | Afr American,American Indian|Alaska Native,Asian,Native Hawaiian,Other race,Hispanic|Latino (any race),Asian:Asian Indian,Asian:Chinese,Asian:Filipino,Asian:Japanese,Asian:Korean,Asian:Vietnamese,Asian:Other Asian,Hispanic|Latino: Mexican,Hispanic|Latino: Puerto Rican,Hispanic|Latino: Cuban,total_population,incident_year,Two races,gas_leaks,gas_leaks_per_person
520,36047027900,2295.0,19360.0,0.0,256.0,0.0,559.0,2124.0,0.0,162.0,24.0,9.0,0.0,0.0,61.0,167.0,576.0,0.0,23048.0,12093,578.0,25,0.0010846928149947934
521,36047028000,4292.0,130.0,0.0,3539.0,0.0,493.0,990.0,86.0,2905.0,0.0,0.0,9.0,0.0,539.0,191.0,223.0,0.0,8562.0,10080,108.0,10,0.00116795141322121
522,36047028100,7551.0,15928.0,61.0,676.0,0.0,4187.0,10810.0,0.0,375.0,268.0,0.0,33.0,0.0,0.0,2956.0,4008.0,43.0,29127.0,12093,724.0,80,0.0027465925086689325
523,36047028200,10029.0,35.0,10.0,9055.0,0.0,245.0,1188.0,118.0,7455.0,202.0,0.0,313.0,0.0,967.0,43.0,712.0,214.0,19705.0,12093,331.0,21,0.0010657193605683837
524,36047028300,5180.0,13132.0,56.0,399.0,0.0,3528.0,9220.0,83.0,316.0,0.0,0.0,0.0,0.0,0.0,1188.0,4748.0,0.0,23350.0,12093,1055.0,187,0.008008565310492505
525,36047028400,13046.0,278.0,26.0,7014.0,0.0,1662.0,2947.0,77.0,5951.0,50.0,0.0,208.0,0.0,728.0,779.0,613.0,58.0,22142.0,12093,116.0,33,0.001490380272784753
526,36047028501,895.0,92.0,0.0,41.0,0.0,957.0,1068.0,0.0,8.0,0.0,0.0,24.0,0.0,9.0,277.0,107.0,11.0,1985.0,10075,0.0,38,0.019143576826196475
527,36047028502,2219.0,10088.0,12.0,420.0,0.0,3353.0,7188.0,0.0,420.0,0.0,0.0,0.0,0.0,0.0,331.0,4115.0,129.0,16337.0,12093,245.0,128,0.0078349758217543
528,36047028600,15208.0,1133.0,452.0,7564.0,0.0,3306.0,5473.0,631.0,3413.0,14.0,58.0,0.0,0.0,3448.0,279.0,2269.0,20.0,28348.0,12093,685.0,42,0.0014815860025398618
529,36047028700,4030.0,10130.0,74.0,1485.0,24.0,1247.0,3864.0,442.0,723.0,0.0,0.0,320.0,0.0,0.0,282.0,2476.0,0.0,17002.0,12093,12.0,120,0.007057993177273262
530,36047028800,9210.0,56.0,0.0,7682.0,0.0,3347.0,3568.0,46.0,6806.0,0.0,0.0,0.0,102.0,728.0,2159.0,150.0,0.0,20340.0,12093,45.0,17,0.0008357915437561455
531,36047028900,4368.0,13479.0,107.0,321.0,0.0,2157.0,6538.0,0.0,254.0,0.0,0.0,67.0,0.0,0.0,226.0,2870.0,0.0,21406.0,12093,974.0,160,0.007474539848640568
532,36047029000,16491.0,83.0,135.0,5592.0,0.0,1566.0,2243.0,378.0,4432.0,0.0,0.0,57.0,0.0,725.0,465.0,291.0,54.0,24049.0,12093,182.0,20,0.0008316354110358019
533,36047029100,3113.0,13315.0,116.0,212.0,0.0,828.0,2257.0,0.0,193.0,0.0,0.0,19.0,0.0,0.0,397.0,698.0,22.0,17749.0,12093,165.0,69,0.00388754296016677
534,36047029200,8658.0,400.0,0.0,4982.0,0.0,1451.0,2794.0,77.0,4397.0,0.0,0.0,0.0,126.0,382.0,717.0,663.0,0.0,15656.0,12093,165.0,25,0.0015968318855390904
535,36047029300,2191.0,13963.0,211.0,538.0,0.0,1988.0,4571.0,0.0,17.0,0.0,47.0,8.0,0.0,466.0,31.0,2506.0,186.0,19649.0,12093,758.0,298,0.015166166217110286
536,36047029400,4510.0,462.0,0.0,1901.0,0.0,440.0,881.0,15.0,1547.0,100.0,0.0,0.0,10.0,229.0,105.0,217.0,25.0,7442.0,6048,129.0,6,0.0008062348830959419
537,36047029500,4202.0,16952.0,0.0,658.0,0.0,786.0,2465.0,103.0,315.0,30.0,33.0,0.0,0.0,177.0,113.0,627.0,141.0,22997.0,12093,399.0,67,0.0029134234900204375
538,36047029600,19099.0,413.0,68.0,11041.0,0.0,363.0,2118.0,404.0,9732.0,44.0,0.0,267.0,128.0,466.0,257.0,1038.0,0.0,32345.0,12093,1361.0,36,0.0011130004637501933
539,36047029700,2207.0,19722.0,71.0,723.0,0.0,132.0,1589.0,101.0,107.0,85.0,70.0,51.0,39.0,270.0,156.0,924.0,228.0,24030.0,12093,1175.0,92,0.0038285476487723677
540,36047029800,10518.0,210.0,0.0,5754.0,0.0,3059.0,3674.0,343.0,5053.0,15.0,0.0,210.0,0.0,133.0,1540.0,439.0,26.0,19574.0,10080,33.0,19,0.0009706753857157454
541,36047029900,639.0,13092.0,21.0,584.0,0.0,1882.0,2990.0,122.0,388.0,0.0,0.0,0.0,0.0,74.0,39.0,1276.0,78.0,16390.0,12093,172.0,134,0.008175716900549116
542,36047030000,7076.0,305.0,14.0,10042.0,0.0,2287.0,3215.0,0.0,8481.0,277.0,0.0,0.0,557.0,727.0,2018.0,711.0,0.0,19771.0,10080,47.0,15,0.0007586869657579282
