,unemployed,unemployed%,mean_houshold_income,geoid
0,276,6.8,97628,36119013400
1,39,1.8,111387,36119013500
2,104,6.5,80258,36119014605
3,0,0.0,-999999999,36119000104
4,55,3.5,200664,36119011102
5,135,4.3,127574,36119011500
6,145,6.2,122642,36119012000
7,68,4.4,224094,36119012501
8,62,2.7,260810,36119012600
9,118,6.3,161666,36119013800
10,173,7.4,105185,36119014604
11,62,3.9,173621,36119014908
12,244,8.6,229091,36119006801
13,237,7.2,271177,36119006900
14,103,3.4,240501,36119007000
15,167,6.0,118619,36119007401
16,196,8.1,70748,36119007800
17,243,7.8,231671,36119008302
18,89,4.8,123950,36119008403
19,174,6.9,187470,36119009600
20,90,5.3,170979,36119010801
21,66,3.2,128323,36085017009
22,112,5.5,49903,36085020700
23,147,3.9,115635,36085020803
24,71,6.0,78482,36085022300
25,101,7.2,72916,36085024700
26,152,4.6,112429,36085025100
27,181,5.1,103578,36085029104
28,55,3.8,96518,36085004700
29,170,8.8,92071,36085005000
30,109,4.9,82843,36085007400
31,64,3.7,91673,36085009601
32,177,10.0,90493,36085009602
33,147,7.6,110077,36085012200
34,301,11.0,116042,36085013203
35,229,7.1,119546,36085015601
36,39,4.2,106678,36085018701
37,180,5.2,115725,36085018702
38,165,7.4,74210,36085018901
39,83,3.9,73681,36085021300
40,119,4.5,52910,36085000700
41,79,6.9,84554,36085000300
42,88,9.8,69282,36085000900
43,56,8.3,41030,36085002700
44,194,6.9,86939,36103111701
45,49,3.3,162309,36103111803
46,270,8.6,126072,36103112001
47,72,3.2,230057,36103112211
48,163,5.6,182181,36103112213
49,143,7.5,104310,36103159204
50,88,3.4,100817,36103159406
51,266,5.8,96070,36103159505
52,139,6.7,90846,36103147901
53,214,9.1,97482,36103158103
54,18,2.2,163777,36103158203
55,218,7.2,101716,36103158309
56,74,3.0,150865,36103158402
57,90,7.6,91351,36103158403
58,273,10.4,78682,36103158509
59,150,5.2,125658,36103158605
60,136,2.9,79669,36103158704
61,157,7.8,102295,36103158710
62,170,4.4,82593,36103159105
63,176,4.8,77788,36103159404
64,164,7.3,92278,36103159408
65,58,3.0,125014,36103201003
66,101,3.2,117297,36103170201
67,204,5.0,79434,36103159506
68,244,5.3,137239,36103169701
69,61,5.0,140815,36103190502
70,144,8.5,44644,36029005600
71,207,22.0,-666666666,36029006201
72,33,1.4,51534,36029007700
73,39,2.1,106322,36029009008
74,153,4.1,127159,36029009113
75,171,6.1,57313,36029009301
76,116,6.9,65982,36029009701
77,75,4.0,86191,36029012002
78,140,10.4,44665,36029012300
79,123,4.6,61544,36029000600
80,171,11.0,59101,36029000900
81,106,10.4,39292,36029003400
82,214,16.9,31603,36029003800
83,442,15.4,41731,36029004700
84,44,3.1,62213,36029005000
85,57,2.5,99676,36029005400
86,224,4.7,176104,36047055500
87,104,6.4,146555,36047055700
88,38,3.4,118468,36047056900
89,365,16.7,26847,36047057200
90,119,6.4,103462,36047057300
91,109,4.1,89036,36047057500
92,45,3.4,61056,36047058200
93,182,10.2,89198,36047059800
94,109,5.8,74310,36047060800
95,95,11.8,80322,36047063200
96,31,2.4,109344,36047064400
97,72,7.4,104366,36047065800
98,65,5.9,141433,36047066000
99,157,9.7,100320,36047067000
100,103,8.5,129167,36047069000
101,137,8.3,109773,36047069200
102,271,12.8,35644,36047035900
103,151,11.8,51369,36047036001
104,110,10.0,35879,36047036100
105,125,6.9,43946,36047036300
106,164,5.2,125989,36059519200
107,65,3.4,180027,36059519703
108,54,4.1,146366,36059519801
109,135,5.8,118020,36059520002
110,84,4.0,137967,36059520800
111,64,3.9,132082,36059521200
112,158,6.4,149504,36059521700
113,79,3.9,134635,36059521801
114,210,6.6,96918,36059300700
115,61,2.6,213838,36059302000
116,94,3.6,130331,36059302400
117,89,3.0,123147,36059303000
118,56,2.4,147010,36059303900
119,115,5.1,157973,36059404600
120,217,6.9,117815,36059404901
121,62,2.5,115520,36059406001
122,189,5.3,237930,36059518501
123,154,5.1,139491,36059518000
124,108,4.6,206926,36059518400
125,85,3.6,123802,36059519400
126,53,2.3,272328,36059301000
127,97,3.1,215231,36059301200
128,76,6.0,350541,36059301700
129,64,3.8,167244,36059303301
130,49,4.2,233941,36059303400
131,113,2.6,109211,36059303600
132,109,4.9,105735,36059404500
133,143,5.2,58766,36059407201
134,230,7.6,141782,36059407301
135,312,10.5,123325,36059410400
136,253,8.8,90174,36059407502
137,228,5.6,117773,36059408800
138,36,1.7,130017,36059409700
139,58,6.6,72189,36065022701
140,134,6.2,53492,36065023200
141,194,9.1,67705,36065024200
142,138,3.5,93080,36065025300
143,56,10.6,24665,36065021000
144,61,5.0,58196,36065021301
145,170,17.2,51010,36065021402
146,41,2.5,59799,36065022400
147,21,1.3,98388,36065024301
148,50,1.8,75316,36065024900
149,93,4.0,80743,36065025500
150,167,5.8,74008,36065023000
151,151,8.0,41759,36065021302
152,95,6.3,71359,36065021701
153,73,3.2,82106,36065024000
154,84,2.9,121806,36065025400
155,30,4.2,58218,36065025800
156,73,11.5,54322,36065021103
157,7,0.7,67743,36065021602
158,46,3.4,89736,36065021702
159,54,4.2,62039,36065022100
160,28,2.8,83867,36065025100
161,31,2.6,61983,36065025700
162,65,2.6,102188,36065023502
163,213,24.5,31071,36065020803
164,124,8.6,64034,36065023300
165,99,5.2,66796,36065025200
166,48,10.4,25052,36065021101
167,148,6.0,70041,36001001600
168,64,3.8,69743,36001002100
169,28,2.6,138496,36001013706
170,30,3.3,109157,36001013703
171,0,0.0,-999999999,36003940200
172,144,8.1,57731,36003950700
173,48,3.3,61299,36003951000
174,149,8.8,65285,36003950500
175,184,11.6,49143,36003950600
176,71,4.6,56859,36003950400
177,205,9.3,52989,36003951200
178,63,5.4,58093,36003950100
179,242,8.4,61724,36003950800
180,158,8.9,51007,36003951100
181,117,6.7,58575,36003950900
182,125,5.6,51717,36003950300
183,133,4.4,77168,36007012500
184,144,5.4,69437,36007012701
185,122,7.0,52881,36007013800
186,42,3.2,72222,36007014200
187,96,6.5,69861,36007013202
188,55,4.6,33381,36005008900
189,329,11.5,77506,36005009800
190,176,8.9,48407,36005012500
191,284,15.0,35195,36005014900
192,210,6.4,42588,36005019700
193,213,18.4,34978,36005022000
194,86,11.0,37204,36005022702
195,113,20.4,30763,36005023100
196,142,9.4,31421,36005023501
197,213,9.1,41480,36005001600
198,0,0.0,-999999999,36005002400
199,82,2.6,154355,36059413400
200,33,2.4,154932,36059415500
201,87,5.3,137821,36059517301
202,97,2.8,133291,36059520300
203,193,5.5,96271,36059407102
204,75,5.5,71878,36065024303
205,209,8.3,109917,36103147702
206,43,1.3,109134,36103158115
207,79,3.4,181934,36103158207
208,119,3.5,154251,36103158304
209,76,5.0,63740,36103158502
210,178,8.0,95236,36103158608
211,156,5.7,126692,36103158802
212,143,5.6,68038,36103159103
213,146,4.4,101003,36103159106
214,17,1.6,143873,36103159300
215,205,6.2,127396,36103159601
216,218,6.7,68078,36103169800
217,98,9.6,80495,36103170101
218,124,3.6,83525,36103190401
219,62,2.2,174939,36103190707
220,43,3.9,191427,36103110401
221,159,3.9,137811,36103110600
222,126,2.9,83164,36103111100
223,117,6.8,101330,36103111503
224,82,4.2,144189,36103135301
225,63,3.6,126950,36103135304
226,143,3.8,89549,36103145602
227,116,5.6,43868,36029006100
228,47,3.7,75851,36029006602
229,62,2.8,120300,36029009104
230,94,4.3,54878,36029010002
231,60,3.7,79059,36029005201
232,111,10.5,102585,36029007202
233,272,5.8,89903,36029007302
234,75,2.4,65615,36029008101
235,91,4.0,90524,36029008900
236,162,4.4,82828,36029009502
237,165,8.0,55766,36029009900
238,221,4.9,100745,36029013102
239,145,4.3,87968,36029013201
240,65,1.9,109563,36029013501
241,102,8.4,134425,36119010901
242,223,6.5,171938,36119011400
243,26,1.8,189831,36119011700
244,284,7.4,147272,36119012200
245,61,12.3,26150,36119001000
246,320,10.0,89275,36119000801
247,84,7.7,103738,36119001800
248,161,6.7,119929,36119002104
249,239,10.8,88200,36119002402
250,183,10.3,74375,36119003000
251,169,17.1,58801,36119003500
252,349,11.9,86821,36119004200
253,67,7.7,118244,36119004500
254,103,7.3,537221,36119004700
255,148,6.0,186347,36119005002
256,65,3.5,101670,36119010803
257,210,5.6,149653,36119010902
258,320,8.3,159924,36119011101
259,167,6.6,82637,36119000202
260,167,9.9,96251,36119000900
261,159,7.0,92084,36119001403
262,159,9.7,82974,36119001600
263,259,9.6,140647,36119002202
264,57,6.6,66016,36119002203
265,32,3.3,87466,36119002401
266,183,10.1,101127,36119002404
267,141,10.8,34107,36119003100
268,260,7.3,123364,36119004800
