,unemployed,unemployed%,mean_houshold_income,geoid
0,71,3.9,122452,36091061404
1,167,9.2,64809,36095740500
2,108,12.2,54549,36089492900
3,170,9.2,59822,36089492100
4,187,4.4,80467,36091062405
5,228,8.0,50766,36089492700
6,89,7.7,91436,36091060601
7,169,6.4,94846,36091060602
8,155,7.5,64677,36093033200
9,65,4.6,70777,36093033400
10,88,7.0,58123,36089492400
11,93,7.8,65586,36089492800
12,32,1.4,109211,36091062508
13,36,9.2,-666666666,36095740300
14,68,5.8,61596,36093033500
15,23,1.4,104978,36091062509
16,51,2.2,68730,36095740100
17,131,9.6,67215,36095740600
18,109,7.6,69710,36095740800
19,107,3.0,104916,36091061403
20,150,7.0,116841,36091062406
21,82,8.1,60921,36093033300
22,11,0.4,114929,36091062506
23,108,4.4,65987,36095740200
24,185,6.4,67526,36089492300
25,36,3.6,58270,36089492500
26,89,3.3,72591,36095740700
27,286,10.3,65135,36089492600
28,27,1.2,108384,36091062507
29,201,6.8,69628,36095740400
30,48,9.4,-999999999,36059981100
31,37,2.2,295326,36061003700
32,0,-666666666.0,-666666666,36059990302
33,68,3.0,209922,36061008601
34,267,2.5,131437,36061004400
35,0,-666666666.0,-666666666,36059990200
36,91,3.4,150936,36059522700
37,1,1.7,101493,36103147004
38,27,1.6,127544,36059416402
39,10,0.6,130005,36103135208
40,0,-666666666.0,-666666666,36059990400
41,157,5.8,292440,36061008603
42,184,7.5,91138,36103146106
43,65,10.1,-999999999,36059982100
44,53,3.3,120688,36103135209
45,71,4.1,175116,36103158010
46,64,12.6,-666666666,36059980100
47,101,4.1,151706,36103147003
48,198,6.6,132987,36059416401
49,56,5.0,140093,36059416801
50,155,7.1,117099,36059416802
51,0,-666666666.0,-666666666,36059990100
52,153,6.9,177225,36059521902
53,0,-666666666.0,-666666666,36059990301
54,0,-666666666.0,-666666666,36061008602
55,82,4.0,82573,36081013800
56,206,8.0,79493,36081014300
57,105,4.5,62023,36081015900
58,85,5.5,102528,36081016800
59,205,6.0,76257,36081016900
60,0,-666666666.0,-666666666,36081017100
61,78,3.1,238327,36055012306
62,46,2.7,83618,36055012401
63,71,2.1,166618,36055012402
64,100,4.1,68374,36055013205
65,73,1.9,89405,36055013206
66,97,3.1,94998,36055013507
67,32,1.6,113317,36055013508
68,261,7.8,94804,36055014601
69,153,5.6,88131,36055014602
70,122,3.9,82192,36055014905
