,total_housing_units,avg_year_built,vacant_housing_units,vacant_housing_units%,geoid
0,2681,1950.3205893323386,256,9.5,36119013400
1,1255,1939.0258964143427,75,6.0,36119013500
2,1727,1964.2591198610307,92,5.3,36119014605
3,43,1999.6162790697674,22,51.2,36119000104
4,977,1956.1734902763562,19,1.9,36119011102
5,2357,1946.8118370810353,137,5.8,36119011500
6,1596,1955.421052631579,7,0.4,36119012000
7,1185,1965.934599156118,90,7.6,36119012501
8,1779,1950.7113546936482,253,14.2,36119012600
9,1227,1951.7860635696823,13,1.1,36119013800
10,1853,1951.536157582299,223,12.0,36119014604
11,989,1970.3129423660264,60,6.1,36119014908
12,1903,1955.2209668943774,83,4.4,36119006801
13,2132,1949.5375234521575,25,1.2,36119006900
14,2379,1933.90605296343,182,7.7,36119007000
15,1899,1944.3288572933122,120,6.3,36119007401
16,1287,1948.0003885003885,64,5.0,36119007800
17,2675,1972.3680373831776,305,11.4,36119008302
18,1417,1952.2551164431898,0,0.0,36119008403
19,1568,1937.5031887755101,71,4.5,36119009600
20,1252,1951.5607028753993,66,5.3,36119010801
21,1691,1977.8784742755765,103,6.1,36085017009
22,2033,1944.5614854894245,246,12.1,36085020700
23,2414,1981.4722452361227,67,2.8,36085020803
24,1024,1949.951171875,163,15.9,36085022300
25,1051,1949.4571836346338,39,3.7,36085024700
26,2221,1961.1771724448447,88,4.0,36085025100
27,2438,1975.3839212469238,46,1.9,36085029104
28,1103,1953.0222121486854,106,9.6,36085004700
29,1513,1969.5482485128882,62,4.1,36085005000
30,1731,1966.2625649913346,190,11.0,36085007400
31,1618,1965.6186650185414,106,6.6,36085009601
32,1464,1956.9801912568305,163,11.1,36085009602
33,1523,1945.8683519369665,127,8.3,36085012200
34,2134,1967.0824742268042,164,7.7,36085013203
35,2516,1953.9558823529412,95,3.8,36085015601
36,673,1947.8952451708767,14,2.1,36085018701
37,2408,1965.3492524916944,101,4.2,36085018702
38,2126,1961.8720602069614,170,8.0,36085018901
39,1747,1933.3162564396107,181,10.4,36085021300
40,2503,1950.7984418697563,101,4.0,36085000700
41,1146,1949.5907504363001,159,13.9,36085000300
42,868,1944.2407834101382,222,25.6,36085000900
43,558,1939.0645161290322,25,4.5,36085002700
44,2207,1955.3586316266426,100,4.5,36103111701
45,917,1962.5043620501635,64,7.0,36103111803
46,1770,1958.6242937853108,59,3.3,36103112001
47,1499,1968.6627751834556,114,7.6,36103112211
48,1753,1970.4355390758699,204,11.6,36103112213
49,1569,1968.11695347355,151,9.6,36103159204
50,1694,1985.029515938607,143,8.4,36103159406
51,2772,1978.955266955267,244,8.8,36103159505
52,1954,1976.7036847492323,152,7.8,36103147901
53,1365,1963.3827838827838,76,5.6,36103158103
54,566,1959.570671378092,62,11.0,36103158203
55,1805,1976.6108033240998,179,9.9,36103158309
56,1468,1967.791553133515,73,5.0,36103158402
57,908,1979.1090308370044,96,10.6,36103158403
58,1795,1965.9763231197771,234,13.0,36103158509
59,1560,1971.551282051282,62,4.0,36103158605
60,3950,1980.9372151898733,343,8.7,36103158704
61,1512,1979.3955026455026,315,20.8,36103158710
62,2637,1973.203071672355,50,1.9,36103159105
63,2639,1971.6106479727168,161,6.1,36103159404
64,1333,1972.5690172543136,109,8.2,36103159408
65,3858,1974.649300155521,2549,66.1,36103201003
66,4079,1969.015812699191,1451,35.6,36103170201
67,2951,1977.0018637749915,342,11.6,36103159506
68,3164,1974.4936788874843,405,12.8,36103169701
69,3045,1965.3538587848932,2033,66.8,36103190502
70,2062,1943.3773035887489,292,14.2,36029005600
72,2341,1933.0476292182827,117,5.0,36029007700
73,2704,1984.0525147928995,134,5.0,36029009008
74,2646,1976.9614512471655,62,2.3,36029009113
75,2478,1948.2873284907182,249,10.0,36029009301
76,1440,1964.432638888889,173,12.0,36029009701
77,1522,1969.7030223390275,106,7.0,36029012002
78,1656,1938.304347826087,347,21.0,36029012300
79,2163,1937.83795654184,113,5.2,36029000600
80,1125,1938.4733333333334,31,2.8,36029000900
81,1617,1935.4109461966605,399,24.7,36029003400
82,1322,1935.6822995461423,214,16.2,36029003800
83,2967,1929.968486686889,486,16.4,36029004700
84,1236,1939.7038834951456,150,12.1,36029005000
85,2038,1936.4739941118744,184,9.0,36029005400
86,3529,1982.9063474071975,415,11.8,36047055500
87,1081,1955.5832562442183,32,3.0,36047055700
88,844,1936.579383886256,55,6.5,36047056900
89,2368,1947.9227195945946,61,2.6,36047057200
90,1226,1937.8646003262643,155,12.6,36047057300
91,2112,1946.0880681818182,0,0.0,36047057500
92,1072,1933.7910447761194,128,11.9,36047058200
93,1365,1955.0274725274726,106,7.8,36047059800
94,1735,1969.149567723343,161,9.3,36047060800
95,737,1954.601763907734,120,16.3,36047063200
96,934,1931.5556745182014,89,9.5,36047064400
97,774,1934.861757105943,58,7.5,36047065800
98,759,1933.9703557312253,49,6.5,36047066000
99,1052,1955.1701520912547,104,9.9,36047067000
100,667,1943.5929535232383,37,5.5,36047069000
101,849,1949.5058892815077,38,4.5,36047069200
102,2357,1937.0986423419602,173,7.3,36047035900
103,1829,1945.076817933297,168,9.2,36047036001
104,1172,1955.051194539249,46,3.9,36047036100
105,1860,1964.6462365591399,165,8.9,36047036300
106,2040,1953.1936274509803,127,6.2,36059519200
107,1232,1959.8417207792209,33,2.7,36059519703
108,871,1958.9982778415615,60,6.9,36059519801
109,1537,1954.8760572543918,99,6.4,36059520002
110,1362,1956.1248164464023,109,8.0,36059520800
111,1026,1954.6169590643274,64,6.2,36059521200
112,1696,1959.7299528301887,102,6.0,36059521700
113,1268,1957.6821766561513,51,4.0,36059521801
114,3536,1958.9253393665158,117,3.3,36059300700
115,2079,1961.9506974506974,159,7.6,36059302000
116,1859,1954.3224852071005,77,4.1,36059302400
117,1774,1947.772266065389,9,0.5,36059303000
118,1243,1956.45494770716,0,0.0,36059303900
119,1439,1941.9322446143156,60,4.2,36059404600
120,1533,1950.5345727332028,69,4.5,36059404901
121,1486,1945.1904441453567,41,2.8,36059406001
122,2415,1973.0018633540374,107,4.4,36059518501
123,3052,1952.6602228047182,383,12.5,36059518000
124,1457,1965.725806451613,47,3.2,36059518400
125,1499,1951.4513008672448,101,6.7,36059519400
126,2404,1965.0191347753744,186,7.7,36059301000
127,2419,1945.0990078544853,208,8.6,36059301200
128,801,1940.4950062421972,17,2.1,36059301700
129,1081,1936.882053654024,52,4.8,36059303301
130,805,1942.2962732919254,0,0.0,36059303400
131,3094,1949.972204266322,0,0.0,36059303600
132,1694,1940.1316410861866,50,3.0,36059404500
133,1692,1959.6979905437352,179,10.6,36059407201
134,1825,1994.0649315068492,153,8.4,36059407301
135,1640,1950.7689024390245,149,9.1,36059410400
136,1469,1948.8192648059905,84,5.7,36059407502
137,2247,1951.5471740097908,14,0.6,36059408800
138,1657,1958.89649969825,44,2.7,36059409700
139,1000,1962.353,104,10.4,36065022701
140,2259,1946.3481629039397,248,11.0,36065023200
141,2156,1960.785250463822,398,18.5,36065024200
142,3215,1959.215396578538,339,10.5,36065025300
143,994,1950.546277665996,195,19.6,36065021000
144,1333,1964.4189797449362,174,13.1,36065021301
145,859,1927.3172293364378,94,10.9,36065021402
146,1844,1948.3204989154012,285,15.5,36065022400
147,1364,1967.158357771261,117,8.6,36065024301
148,2472,1959.251213592233,319,12.9,36065024900
149,1886,1958.4485683987275,152,8.1,36065025500
150,2580,1968.406976744186,108,4.2,36065023000
151,1672,1934.7272727272727,169,10.1,36065021302
152,1599,1942.9896810506566,126,7.9,36065021701
153,2027,1956.2745436605821,283,14.0,36065024000
154,2474,1964.265561843169,248,10.0,36065025400
155,619,1966.0702746365105,77,12.4,36065025800
156,676,1938.4792899408285,56,8.3,36065021103
157,1147,1961.8269398430689,99,8.6,36065021602
158,1257,1935.6933174224343,141,11.2,36065021702
159,1174,1941.3057921635434,139,11.8,36065022100
160,932,1943.6577253218884,105,11.3,36065025100
161,1160,1941.771551724138,113,9.7,36065025700
162,1924,1972.845634095634,83,4.3,36065023502
163,1038,1929.1676300578035,214,20.6,36065020803
164,1143,1938.9706911636044,90,7.9,36065023300
165,2369,1977.573448712537,215,9.1,36065025200
166,581,1926.5309810671256,186,32.0,36065021101
167,2064,1934.921511627907,240,11.6,36001001600
168,1347,1937.8481811432814,266,19.7,36001002100
169,791,1953.2610619469026,48,6.1,36001013706
170,619,1969.7229402261712,27,4.4,36001013703
171,4,1962.0,3,75.0,36003940200
172,1997,1947.1314471707562,367,18.4,36003950700
173,1758,1956.5580204778157,466,26.5,36003951000
174,2483,1956.4367700362466,904,36.4,36003950500
