,total_housing_units,avg_year_built,vacant_housing_units,vacant_housing_units%,geoid
0,1156,1987.1820934256054,27,2.3,36091061404
1,2220,1963.5792792792793,732,33.0,36095740500
2,1978,1961.9436299292215,1188,60.1,36089492900
3,1578,1958.7065906210394,112,7.1,36089492100
4,3489,1986.7237030667814,204,5.8,36091062405
5,2979,1951.6148036253776,324,10.9,36089492700
6,1452,1980.793732782369,212,14.6,36091060601
7,2210,1976.1839366515837,244,11.0,36091060602
8,1744,1935.3256880733945,526,30.2,36093033200
9,998,1933.9188376753507,295,29.6,36093033400
10,1583,1961.565698041693,460,29.1,36089492400
11,2724,1961.0256975036712,1601,58.8,36089492800
12,1878,1979.3652822151225,148,7.9,36091062508
14,1588,1937.8249370277078,544,34.3,36093033500
15,1482,1981.93657219973,91,6.1,36091062509
16,2336,1965.7724743150684,381,16.3,36095740100
17,2207,1965.6730856366107,980,44.4,36095740600
18,2719,1972.0750275836704,1453,53.4,36095740800
19,2815,1982.153108348135,50,1.8,36091061403
20,1609,1987.9546302050962,169,10.5,36091062406
21,955,1949.928272251309,238,24.9,36093033300
22,2187,1981.8106995884773,40,1.8,36091062506
23,2654,1963.793142426526,451,17.0,36095740200
24,3992,1965.1411573146293,1422,35.6,36089492300
25,2821,1955.8241758241759,1680,59.6,36089492500
26,2714,1958.5766396462786,461,17.0,36095740700
27,3183,1968.004712535344,808,25.4,36089492600
28,1758,1984.9271899886235,73,4.2,36091062507
29,2656,1959.535768072289,489,18.4,36095740400
30,5,1954.5,0,0.0,36059981100
31,1659,1945.2133815551538,306,18.4,36061003700
33,1577,1983.1908687381103,245,15.5,36061008601
34,8420,1947.9073634204276,275,3.3,36061004400
36,1625,1954.1895384615384,46,2.8,36059522700
37,2470,1957.6032388663969,2427,98.3,36103147004
38,1442,1951.252080443828,240,16.6,36059416402
39,1110,1969.1576576576576,55,5.0,36103135208
41,3519,1952.8816425120774,1062,30.2,36061008603
42,1151,1965.546915725456,130,11.3,36103146106
43,23,1978.4130434782608,0,0.0,36059982100
44,1231,1968.3716490658,73,5.9,36103135209
45,1199,1971.0054211843203,116,9.7,36103158010
47,1707,1964.576157000586,75,4.4,36103147003
48,2165,1941.8771362586606,310,14.3,36059416401
49,844,1959.0781990521327,66,7.8,36059416801
50,2549,1962.9327187132208,542,21.3,36059416802
52,1590,1961.145283018868,121,7.6,36059521902
55,1576,1945.236040609137,147,9.3,36081013800
56,1829,1939.7334609075997,219,12.0,36081014300
57,2060,1932.014563106796,317,15.4,36081015900
58,882,1941.4291383219954,24,2.7,36081016800
59,2661,1939.7010522360015,110,4.1,36081016900
61,2080,1985.1502403846155,105,5.0,36055012306
62,1468,1958.5466621253406,131,8.9,36055012401
63,2303,1968.2527138514981,137,5.9,36055012402
64,1801,1974.6946141032759,114,6.3,36055013205
65,2738,1988.326515704894,56,2.0,36055013206
66,2252,1985.5812611012434,97,4.3,36055013507
67,1512,1986.654761904762,85,5.6,36055013508
68,2114,1977.7568590350047,50,2.4,36055014601
69,2031,1977.6213687838504,142,7.0,36055014602
70,2158,1979.3463855421687,84,3.9,36055014905
71,1551,1980.2176015473888,60,3.9,36055014906
72,1406,1968.3954480796585,83,5.9,36055015303
73,1943,1954.5501801338137,165,8.5,36055015304
75,12,1954.5,0,0.0,36055980100
77,1260,1960.1571428571428,107,8.5,36059304203
78,1198,1976.0868113522538,50,4.2,36059304204
79,1108,1951.6809566787003,140,12.6,36059406701
80,3027,1969.162867525603,95,3.1,36029017300
81,1510,1935.962582781457,114,7.5,36029017400
82,718,1949.2284122562673,58,8.1,36029017501
83,1064,1949.0357142857142,114,10.7,36029017502
85,1109,1978.578449053201,16,1.4,36033940000
86,1643,1944.0550821667682,187,11.4,36033950501
87,786,1965.4007633587787,88,11.2,36033950502
88,1990,1960.6206030150754,891,44.8,36035970100
89,1539,1954.506497725796,363,23.6,36035970200
90,2060,1975.9218446601942,487,23.6,36035970300
91,1380,1938.822463768116,115,8.3,36119003900
92,1293,1933.9779582366589,117,9.0,36119003300
93,1699,1937.4105356091818,134,7.9,36119003400
94,1498,1943.1381842456608,73,4.9,36119003700
95,1331,1945.6487603305786,54,4.1,36119005001
96,2991,1954.4732530926112,63,2.1,36119005701
97,2754,1954.2857661583153,127,4.6,36119007200
98,2014,1944.5089374379345,89,4.4,36119007700
99,1442,1959.0409153952844,68,4.7,36119008902
100,1590,1978.2610062893082,115,7.2,36119009300
101,1942,1964.8493820803296,127,6.5,36119009400
102,1458,1961.1340877914952,69,4.7,36119009800
103,1263,1962.2593032462391,54,4.3,36103146201
104,2430,1974.8320987654322,120,4.9,36103135402
105,1377,1965.6946259985475,79,5.7,36103146002
106,703,1951.7830725462304,25,3.6,36081018401
107,1238,1956.6550888529887,508,41.0,36031960700
108,2432,1948.920230263158,547,22.5,36031961000
109,1174,1966.8986371379897,409,34.8,36031961100
110,2167,1950.759806183664,1103,50.9,36031960498
111,2777,1954.9393230104429,684,24.6,36031961200
112,2375,1961.7044210526317,1711,72.0,36031961300
113,1752,1960.7417237442921,1057,60.3,36031961400
114,2689,1967.8955001859426,1033,38.4,36031960598
115,1696,1958.866450471698,783,46.2,36031960800
116,3063,1955.5525628468822,1459,47.6,36031960900
117,1624,1965.8291256157636,543,33.4,36031960200
118,867,1940.699538638985,238,27.5,36057070900
119,1160,1942.0862068965516,244,21.0,36057070500
120,1066,1929.0497185741087,261,24.5,36057070600
121,1831,1958.3164937192792,359,19.6,36057072200
